time,gridY,gridX,ssh
UTC,count,count,m
2019-01-05T13:30:00Z,495,216,1.744789
2019-01-05T14:30:00Z,495,216,1.8636949
2019-01-05T15:30:00Z,495,216,1.7274436
2019-01-05T16:30:00Z,495,216,1.437214
2019-01-05T17:30:00Z,495,216,1.0888453
2019-01-05T18:30:00Z,495,216,0.7816308
2019-01-05T19:30:00Z,495,216,0.620662
2019-01-05T20:30:00Z,495,216,0.66409945
2019-01-05T21:30:00Z,495,216,0.87374145
2019-01-05T22:30:00Z,495,216,1.1146793
2019-01-05T23:30:00Z,495,216,1.2998738
2019-01-06T00:30:00Z,495,216,1.3103485
2019-01-06T01:30:00Z,495,216,1.0792593
2019-01-06T02:30:00Z,495,216,0.60255605
2019-01-06T03:30:00Z,495,216,-0.03238393
2019-01-06T04:30:00Z,495,216,-0.71245486
2019-01-06T05:30:00Z,495,216,-1.3557724
2019-01-06T06:30:00Z,495,216,-1.8426323
2019-01-06T07:30:00Z,495,216,-2.0119083
2019-01-06T08:30:00Z,495,216,-1.7726752
2019-01-06T09:30:00Z,495,216,-1.2326696
2019-01-06T10:30:00Z,495,216,-0.50205654
2019-01-06T11:30:00Z,495,216,0.35436484
2019-01-06T12:30:00Z,495,216,1.1516458
2019-01-06T13:30:00Z,495,216,1.7576619
2019-01-06T14:30:00Z,495,216,2.0759604
2019-01-06T15:30:00Z,495,216,2.0829036
2019-01-06T16:30:00Z,495,216,1.8621191
2019-01-06T17:30:00Z,495,216,1.5159734
2019-01-06T18:30:00Z,495,216,1.1244074
2019-01-06T19:30:00Z,495,216,0.8199962
2019-01-06T20:30:00Z,495,216,0.68437594
2019-01-06T21:30:00Z,495,216,0.7469096
2019-01-06T22:30:00Z,495,216,0.94255304
2019-01-06T23:30:00Z,495,216,1.1291761
2019-01-07T00:30:00Z,495,216,1.2254962
2019-01-07T01:30:00Z,495,216,1.1286397
2019-01-07T02:30:00Z,495,216,0.77614367
2019-01-07T03:30:00Z,495,216,0.22030291
2019-01-07T04:30:00Z,495,216,-0.4257056
2019-01-07T05:30:00Z,495,216,-1.0899827
2019-01-07T06:30:00Z,495,216,-1.6641256
2019-01-07T07:30:00Z,495,216,-2.0211885
2019-01-07T08:30:00Z,495,216,-2.0246603
2019-01-07T09:30:00Z,495,216,-1.6456593
2019-01-07T10:30:00Z,495,216,-1.0372151
2019-01-07T11:30:00Z,495,216,-0.27380696
2019-01-07T12:30:00Z,495,216,0.54853964
2019-01-07T13:30:00Z,495,216,1.255019
2019-01-07T14:30:00Z,495,216,1.7305229
2019-01-07T15:30:00Z,495,216,1.9112902
2019-01-07T16:30:00Z,495,216,1.8084806
2019-01-07T17:30:00Z,495,216,1.5216274
2019-01-07T18:30:00Z,495,216,1.1535292
2019-01-07T19:30:00Z,495,216,0.787513
2019-01-07T20:30:00Z,495,216,0.5242098
2019-01-07T21:30:00Z,495,216,0.44959316
2019-01-07T22:30:00Z,495,216,0.56916755
2019-01-07T23:30:00Z,495,216,0.74845374
2019-01-08T00:30:00Z,495,216,0.8854082
2019-01-08T01:30:00Z,495,216,0.9072989
2019-01-08T02:30:00Z,495,216,0.72115874
2019-01-08T03:30:00Z,495,216,0.29873943
2019-01-08T04:30:00Z,495,216,-0.2736209
2019-01-08T05:30:00Z,495,216,-0.8968041
2019-01-08T06:30:00Z,495,216,-1.4998682
2019-01-08T07:30:00Z,495,216,-1.973653
2019-01-08T08:30:00Z,495,216,-2.164849
2019-01-08T09:30:00Z,495,216,-1.9761846
2019-01-08T10:30:00Z,495,216,-1.4930979
2019-01-08T11:30:00Z,495,216,-0.8335236
2019-01-08T12:30:00Z,495,216,-0.052837227
2019-01-08T13:30:00Z,495,216,0.7061573
2019-01-08T14:30:00Z,495,216,1.2985207
2019-01-08T15:30:00Z,495,216,1.6452081
2019-01-08T16:30:00Z,495,216,1.6984937
2019-01-08T17:30:00Z,495,216,1.5142536
2019-01-08T18:30:00Z,495,216,1.198236
2019-01-08T19:30:00Z,495,216,0.83175147
2019-01-08T20:30:00Z,495,216,0.50602454
2019-01-08T21:30:00Z,495,216,0.31451246
2019-01-08T22:30:00Z,495,216,0.32308513
2019-01-08T23:30:00Z,495,216,0.47657225
2019-01-09T00:30:00Z,495,216,0.6463725
2019-01-09T01:30:00Z,495,216,0.77043134
2019-01-09T02:30:00Z,495,216,0.7391408
2019-01-09T03:30:00Z,495,216,0.5024498
2019-01-09T04:30:00Z,495,216,0.06139282
2019-01-09T05:30:00Z,495,216,-0.47704375
2019-01-09T06:30:00Z,495,216,-1.032079
2019-01-09T07:30:00Z,495,216,-1.527487
2019-01-09T08:30:00Z,495,216,-1.8301283
2019-01-09T09:30:00Z,495,216,-1.8166984
2019-01-09T10:30:00Z,495,216,-1.4643302
2019-01-09T11:30:00Z,495,216,-0.8914574
2019-01-09T12:30:00Z,495,216,-0.18399665
2019-01-09T13:30:00Z,495,216,0.58083683
2019-01-09T14:30:00Z,495,216,1.2452149
2019-01-09T15:30:00Z,495,216,1.6937339
2019-01-09T16:30:00Z,495,216,1.8663058
2019-01-09T17:30:00Z,495,216,1.7809751
2019-01-09T18:30:00Z,495,216,1.5131111
2019-01-09T19:30:00Z,495,216,1.1465031
2019-01-09T20:30:00Z,495,216,0.76725435
2019-01-09T21:30:00Z,495,216,0.48727694
2019-01-09T22:30:00Z,495,216,0.36292002
2019-01-09T23:30:00Z,495,216,0.43255082
2019-01-10T00:30:00Z,495,216,0.5940946
2019-01-10T01:30:00Z,495,216,0.7549234
2019-01-10T02:30:00Z,495,216,0.835049
2019-01-10T03:30:00Z,495,216,0.7470508
2019-01-10T04:30:00Z,495,216,0.4627034
2019-01-10T05:30:00Z,495,216,0.021116978
2019-01-10T06:30:00Z,495,216,-0.48071143
2019-01-10T07:30:00Z,495,216,-0.9747035
2019-01-10T08:30:00Z,495,216,-1.35395
2019-01-10T09:30:00Z,495,216,-1.5161355
2019-01-10T10:30:00Z,495,216,-1.3584781
2019-01-10T11:30:00Z,495,216,-0.9178942
2019-01-10T12:30:00Z,495,216,-0.33009183
2019-01-10T13:30:00Z,495,216,0.3576841
2019-01-10T14:30:00Z,495,216,1.0294888
2019-01-10T15:30:00Z,495,216,1.5543454
2019-01-10T16:30:00Z,495,216,1.8315579
2019-01-10T17:30:00Z,495,216,1.8402262
2019-01-10T18:30:00Z,495,216,1.626813
2019-01-10T19:30:00Z,495,216,1.2821136
2019-01-10T20:30:00Z,495,216,0.8777508
2019-01-10T21:30:00Z,495,216,0.51012176
2019-01-10T22:30:00Z,495,216,0.26678926
2019-01-10T23:30:00Z,495,216,0.20451675
2019-01-11T00:30:00Z,495,216,0.29575527
2019-01-11T01:30:00Z,495,216,0.44658065
2019-01-11T02:30:00Z,495,216,0.57812226
2019-01-11T03:30:00Z,495,216,0.6184709
2019-01-11T04:30:00Z,495,216,0.5015185
2019-01-11T05:30:00Z,495,216,0.19921386
2019-01-11T06:30:00Z,495,216,-0.21816713
2019-01-11T07:30:00Z,495,216,-0.6548765
2019-01-11T08:30:00Z,495,216,-1.0497864
2019-01-11T09:30:00Z,495,216,-1.2993573
2019-01-11T10:30:00Z,495,216,-1.2959275
2019-01-11T11:30:00Z,495,216,-1.0070652
2019-01-11T12:30:00Z,495,216,-0.5225062
2019-01-11T13:30:00Z,495,216,0.08683617
2019-01-11T14:30:00Z,495,216,0.7379443
2019-01-11T15:30:00Z,495,216,1.3071306
2019-01-11T16:30:00Z,495,216,1.6880639
2019-01-11T17:30:00Z,495,216,1.8193504
2019-01-11T18:30:00Z,495,216,1.6920062
2019-01-11T19:30:00Z,495,216,1.3922169
2019-01-11T20:30:00Z,495,216,1.0043042
2019-01-11T21:30:00Z,495,216,0.58023095
