,b1,b2,b3,b4,b5
144,591.0,524.0,467.0,630.0,423.0
145,584.0,526.0,464.0,631.0,430.0
146,591.0,533.0,475.0,636.0,432.0
147,588.0,530.0,473.0,639.0,429.0
148,602.0,545.0,478.0,635.0,434.0
149,598.0,533.0,478.0,643.0,425.0
150,595.0,531.0,477.0,636.0,433.0
151,588.0,535.0,482.0,645.0,438.0
152,593.0,538.0,480.0,645.0,440.0
153,597.0,541.0,475.0,637.0,435.0
154,588.0,536.0,477.0,632.0,439.0
155,591.0,542.0,478.0,639.0,438.0
156,588.0,538.0,477.0,644.0,438.0
157,599.0,530.0,472.0,643.0,433.0
158,590.0,532.0,482.0,640.0,436.0
159,588.0,536.0,473.0,633.0,427.0
160,585.0,532.0,473.0,636.0,430.0
161,583.0,531.0,473.0,643.0,427.0
162,588.0,533.0,486.0,638.0,434.0
163,597.0,534.0,473.0,649.0,430.0
164,588.0,533.0,469.0,631.0,435.0
165,594.0,536.0,474.0,640.0,432.0
166,585.0,525.0,474.0,643.0,434.0
167,588.0,523.0,477.0,633.0,428.0
168,582.0,525.0,476.0,641.0,429.0
169,581.0,528.0,476.0,636.0,426.0
170,590.0,523.0,468.0,628.0,430.0
171,590.0,525.0,474.0,634.0,427.0
172,588.0,533.0,470.0,643.0,437.0
173,583.0,535.0,479.0,637.0,443.0
174,599.0,531.0,476.0,641.0,434.0
175,588.0,530.0,476.0,640.0,432.0
176,588.0,528.0,475.0,648.0,432.0
177,582.0,534.0,483.0,634.0,443.0
178,593.0,545.0,493.0,642.0,444.0
179,612.0,547.0,486.0,645.0,455.0
180,598.0,537.0,482.0,651.0,438.0
181,588.0,532.0,476.0,642.0,439.0
182,590.0,532.0,473.0,640.0,432.0
183,583.0,531.0,478.0,630.0,429.0
184,582.0,530.0,468.0,636.0,431.0
185,589.0,523.0,477.0,627.0,433.0
186,585.0,522.0,472.0,636.0,432.0
187,584.0,532.0,475.0,628.0,429.0
188,583.0,520.0,463.0,633.0,430.0
189,590.0,530.0,464.0,629.0,436.0
190,582.0,538.0,469.0,629.0,433.0
191,584.0,528.0,470.0,632.0,424.0
192,588.0,524.0,465.0,627.0,430.0
193,580.0,530.0,478.0,632.0,429.0
194,586.0,531.0,474.0,636.0,432.0
195,585.0,522.0,467.0,637.0,427.0
196,596.0,522.0,482.0,641.0,426.0
197,590.0,537.0,472.0,632.0,437.0
198,598.0,534.0,479.0,644.0,434.0
199,584.0,529.0,475.0,641.0,453.0
200,590.0,536.0,475.0,635.0,442.0
201,595.0,544.0,483.0,647.0,439.0
202,602.0,544.0,482.0,644.0,440.0
203,592.0,539.0,493.0,639.0,448.0
204,602.0,544.0,489.0,661.0,444.0
205,608.0,538.0,487.0,652.0,438.0
206,593.0,533.0,477.0,634.0,435.0
207,588.0,527.0,481.0,641.0,429.0
208,589.0,529.0,476.0,632.0,428.0
209,592.0,537.0,478.0,632.0,440.0
210,593.0,542.0,470.0,640.0,431.0
211,585.0,538.0,481.0,644.0,429.0
212,581.0,530.0,468.0,633.0,429.0
213,588.0,530.0,475.0,645.0,435.0
214,590.0,524.0,470.0,634.0,429.0
215,591.0,524.0,468.0,644.0,437.0
216,584.0,536.0,476.0,645.0,432.0
217,584.0,520.0,466.0,642.0,430.0
218,588.0,532.0,475.0,637.0,426.0
219,583.0,536.0,478.0,633.0,436.0
220,584.0,531.0,472.0,637.0,426.0
221,587.0,526.0,474.0,640.0,433.0
222,599.0,541.0,479.0,629.0,440.0
223,593.0,541.0,483.0,649.0,437.0
224,609.0,541.0,482.0,638.0,435.0
225,600.0,532.0,477.0,644.0,437.0
226,589.0,541.0,476.0,644.0,440.0
227,598.0,536.0,481.0,641.0,442.0
228,594.0,543.0,481.0,646.0,430.0
229,594.0,530.0,477.0,645.0,436.0
230,587.0,545.0,478.0,649.0,432.0
231,586.0,529.0,478.0,637.0,432.0
232,583.0,538.0,475.0,635.0,432.0
233,589.0,536.0,476.0,636.0,431.0
234,591.0,536.0,475.0,636.0,437.0
235,585.0,541.0,478.0,645.0,437.0
236,593.0,534.0,473.0,634.0,434.0
237,586.0,529.0,472.0,629.0,435.0
238,591.0,532.0,478.0,637.0,427.0
239,582.0,518.0,465.0,638.0,428.0
240,578.0,529.0,472.0,632.0,426.0
241,581.0,522.0,466.0,632.0,423.0
242,588.0,524.0,466.0,638.0,429.0
243,583.0,520.0,464.0,630.0,422.0
244,574.0,522.0,465.0,624.0,420.0
245,579.0,520.0,468.0,626.0,418.0
246,580.0,520.0,465.0,625.0,424.0
247,573.0,523.0,467.0,626.0,429.0
248,575.0,524.0,464.0,622.0,430.0
249,582.0,525.0,466.0,630.0,433.0
250,577.0,523.0,472.0,633.0,427.0
251,582.0,521.0,468.0,632.0,425.0
252,588.0,517.0,473.0,632.0,428.0
253,586.0,537.0,469.0,634.0,427.0
254,582.0,525.0,465.0,636.0,422.0
255,583.0,521.0,472.0,638.0,427.0
256,585.0,523.0,468.0,634.0,425.0
257,578.0,524.0,466.0,630.0,425.0
258,578.0,518.0,462.0,628.0,422.0
259,580.0,519.0,466.0,630.0,419.0
260,582.0,526.0,469.0,626.0,419.0
261,580.0,521.0,468.0,630.0,422.0
262,577.0,519.0,461.0,623.0,420.0
263,575.0,524.0,464.0,623.0,424.0
264,580.0,520.0,459.0,627.0,420.0
265,578.0,520.0,462.0,626.0,425.0
266,581.0,519.0,465.0,626.0,420.0
267,584.0,519.0,462.0,629.0,421.0
268,576.0,528.0,465.0,630.0,428.0
269,581.0,525.0,472.0,631.0,425.0
270,577.0,522.0,465.0,626.0,433.0
271,583.0,526.0,472.0,626.0,431.0
272,591.0,530.0,466.0,639.0,439.0
273,593.0,524.0,475.0,638.0,422.0
274,587.0,528.0,471.0,631.0,430.0
275,585.0,526.0,477.0,629.0,426.0
276,582.0,528.0,470.0,629.0,428.0
277,579.0,529.0,476.0,627.0,427.0
278,578.0,530.0,473.0,629.0,434.0
279,588.0,537.0,473.0,631.0,425.0
280,583.0,526.0,470.0,641.0,429.0
281,585.0,520.0,462.0,634.0,425.0
282,574.0,521.0,469.0,625.0,420.0
283,581.0,525.0,461.0,635.0,424.0
284,579.0,517.0,468.0,625.0,422.0
285,586.0,529.0,468.0,631.0,425.0
286,578.0,525.0,464.0,632.0,425.0
287,583.0,528.0,465.0,631.0,426.0
288,575.0,517.0,469.0,631.0,425.0
289,577.0,525.0,466.0,631.0,421.0
290,577.0,524.0,469.0,634.0,422.0
291,581.0,526.0,471.0,633.0,431.0
292,583.0,532.0,484.0,630.0,431.0
293,595.0,536.0,484.0,636.0,437.0
294,598.0,538.0,478.0,660.0,428.0
295,582.0,526.0,470.0,649.0,427.0
296,586.0,533.0,475.0,635.0,428.0
297,593.0,532.0,477.0,636.0,430.0
298,589.0,532.0,474.0,646.0,433.0
299,600.0,535.0,469.0,637.0,435.0
300,583.0,527.0,467.0,628.0,424.0
301,588.0,520.0,466.0,633.0,423.0
302,579.0,520.0,467.0,629.0,426.0
303,579.0,522.0,462.0,622.0,421.0
304,578.0,517.0,467.0,624.0,418.0
305,572.0,519.0,467.0,625.0,422.0
306,576.0,516.0,463.0,626.0,420.0
307,581.0,520.0,467.0,626.0,425.0
308,581.0,521.0,466.0,630.0,420.0
309,578.0,519.0,464.0,627.0,421.0
310,578.0,520.0,469.0,626.0,422.0
311,574.0,515.0,466.0,623.0,416.0
312,579.0,515.0,463.0,623.0,418.0
313,576.0,519.0,462.0,625.0,422.0
314,576.0,520.0,462.0,623.0,419.0
315,574.0,517.0,462.0,622.0,420.0
316,576.0,518.0,462.0,625.0,424.0
317,574.0,517.0,460.0,630.0,422.0
318,577.0,521.0,461.0,628.0,419.0
319,577.0,520.0,463.0,627.0,421.0
320,574.0,519.0,468.0,626.0,419.0
321,576.0,523.0,461.0,628.0,422.0
322,577.0,518.0,466.0,623.0,422.0
323,576.0,518.0,461.0,628.0,420.0
324,577.0,520.0,462.0,627.0,419.0
325,581.0,518.0,459.0,628.0,418.0
326,573.0,517.0,460.0,629.0,419.0
327,576.0,515.0,458.0,622.0,416.0
328,576.0,516.0,460.0,624.0,420.0
329,577.0,518.0,462.0,633.0,419.0
330,574.0,521.0,460.0,623.0,418.0
331,573.0,517.0,458.0,621.0,416.0
332,574.0,526.0,459.0,625.0,418.0
333,574.0,518.0,460.0,621.0,421.0
334,576.0,520.0,460.0,628.0,420.0
335,574.0,515.0,461.0,626.0,421.0
336,576.0,514.0,459.0,623.0,418.0
337,574.0,519.0,463.0,619.0,419.0
338,575.0,517.0,461.0,619.0,418.0
339,573.0,522.0,458.0,623.0,419.0
340,578.0,519.0,462.0,624.0,421.0
341,580.0,518.0,461.0,622.0,419.0
342,578.0,514.0,459.0,625.0,419.0
343,581.0,516.0,458.0,624.0,419.0
344,573.0,518.0,465.0,622.0,416.0
345,581.0,520.0,464.0,626.0,419.0
346,578.0,514.0,460.0,623.0,417.0
347,580.0,521.0,462.0,628.0,421.0
348,580.0,517.0,462.0,628.0,421.0
349,579.0,521.0,459.0,629.0,418.0
350,575.0,520.0,460.0,628.0,418.0
351,577.0,518.0,463.0,622.0,417.0
352,573.0,515.0,461.0,624.0,418.0
353,579.0,515.0,461.0,624.0,415.0
354,573.0,518.0,461.0,622.0,420.0
355,572.0,524.0,458.0,626.0,421.0
356,570.0,515.0,458.0,622.0,418.0
357,570.0,518.0,461.0,624.0,417.0
358,575.0,518.0,460.0,623.0,419.0
359,574.0,520.0,458.0,624.0,420.0
360,578.0,518.0,463.0,623.0,418.0
361,575.0,521.0,462.0,622.0,417.0
362,573.0,518.0,459.0,625.0,418.0
363,571.0,515.0,459.0,622.0,420.0
364,575.0,517.0,458.0,622.0,418.0
365,577.0,518.0,461.0,622.0,417.0
366,577.0,520.0,460.0,621.0,418.0
367,573.0,521.0,461.0,625.0,416.0
368,575.0,520.0,466.0,623.0,417.0
369,574.0,514.0,461.0,622.0,416.0
