,DeployT,Timeg
164,2015-01-01 12:00:00,96
165,2015-01-01 12:00:00,103
166,2015-01-01 12:00:00,166
167,2015-01-01 12:00:00,156
168,2015-01-01 12:00:00,103
169,2015-01-01 12:00:00,123
170,2015-01-01 12:00:00,139
171,2015-01-01 12:00:00,109
172,2015-01-01 12:00:00,178
173,2015-01-01 12:00:00,659
174,2015-01-01 12:00:00,390
175,2015-01-01 12:00:00,184
176,2015-01-01 12:00:00,146
177,2015-01-01 12:00:00,123
178,2015-01-01 12:00:00,463
179,2015-01-01 12:00:00,85
180,2015-01-01 12:00:00,241
181,2015-01-01 12:00:00,141
182,2015-01-01 12:00:00,132
183,2015-01-01 12:00:00,124
184,2015-01-01 12:00:00,60
185,2015-01-01 12:00:00,208
186,2015-01-01 12:00:00,435
187,2015-01-01 12:00:00,162
188,2015-01-01 12:00:00,206
189,2015-01-01 12:00:00,166
190,2015-01-01 12:00:00,268
191,2015-01-01 12:00:00,0
192,2015-01-01 12:00:00,180
193,2015-01-01 12:00:00,95
194,2015-01-01 12:00:00,230
195,2015-01-01 12:00:00,89
196,2015-01-01 12:00:00,233
197,2015-01-01 12:00:00,252
198,2015-01-01 12:00:00,116
199,2015-01-01 12:00:00,408
200,2015-01-01 12:00:00,107
201,2015-01-01 12:00:00,208
202,2015-01-01 12:00:00,67
203,2015-01-01 12:00:00,95
204,2015-01-01 12:00:00,72
205,2015-01-01 12:00:00,82
206,2015-01-01 12:00:00,244
207,2015-01-01 12:00:00,210
208,2015-01-01 12:00:00,209
209,2015-01-01 12:00:00,68
210,2015-01-01 12:00:00,500
211,2015-01-01 12:00:00,45
212,2015-01-01 12:00:00,191
213,2015-01-01 12:00:00,127
214,2015-01-01 12:00:00,124
215,2015-01-01 12:00:00,676
216,2015-01-01 12:00:00,381
217,2015-01-01 12:00:00,95
218,2015-01-01 12:00:00,94
219,2015-01-01 12:00:00,194
220,2015-01-01 12:00:00,410
221,2015-01-01 12:00:00,94
222,2015-01-01 12:00:00,248
223,2015-01-01 12:00:00,255
224,2015-01-01 12:00:00,95
225,2015-01-01 12:00:00,541
226,2015-01-01 12:00:00,66
227,2015-01-01 12:00:00,286
228,2015-01-01 12:00:00,203
229,2015-01-01 12:00:00,272
230,2015-01-01 12:00:00,85
231,2015-01-01 12:00:00,94
232,2015-01-01 12:00:00,123
233,2015-01-01 12:00:00,301
234,2015-01-01 12:00:00,273
235,2015-01-01 12:00:00,375
236,2015-01-01 12:00:00,165
237,2015-01-01 12:00:00,188
238,2015-01-01 12:00:00,183
239,2015-01-01 12:00:00,137
240,2015-01-01 12:00:00,138
241,2015-01-01 12:00:00,425
242,2015-01-01 12:00:00,153
243,2015-01-01 12:00:00,137
244,2015-01-01 12:00:00,134
245,2015-01-01 12:00:00,471
246,2015-01-01 12:00:00,161
247,2015-01-01 12:00:00,245
248,2015-01-01 12:00:00,149
249,2015-01-01 12:00:00,206
250,2015-01-01 12:00:00,123
251,2015-01-01 12:00:00,92
252,2015-01-01 12:00:00,0
253,2015-01-01 12:00:00,168
254,2015-01-01 12:00:00,106
255,2015-01-01 12:00:00,192
256,2015-01-01 12:00:00,84
257,2015-01-01 12:00:00,358
258,2015-01-01 12:00:00,112
259,2015-01-01 12:00:00,51
260,2015-01-01 12:00:00,94
261,2015-01-01 12:00:00,166
262,2015-01-01 12:00:00,0
263,2015-01-01 12:00:00,312
264,2015-01-01 12:00:00,267
265,2015-01-01 12:00:00,172
266,2015-01-01 12:00:00,200
267,2015-01-01 12:00:00,0
268,2015-01-01 12:00:00,102
269,2015-01-01 12:00:00,174
270,2015-01-01 12:00:00,70
271,2015-01-01 12:00:00,218
272,2015-01-01 12:00:00,81
273,2015-01-01 12:00:00,206
274,2015-01-01 12:00:00,56
275,2015-01-01 12:00:00,158
276,2015-01-01 12:00:00,97
277,2015-01-01 12:00:00,52
278,2015-01-01 12:00:00,49
279,2015-01-01 12:00:00,49
280,2015-01-01 12:00:00,179
281,2015-01-01 12:00:00,71
282,2015-01-01 12:00:00,163
283,2015-01-01 12:00:00,198
284,2015-01-01 12:00:00,121
285,2015-01-01 12:00:00,69
286,2015-01-01 12:00:00,120
287,2015-01-01 12:00:00,56
288,2015-01-01 12:00:00,93
289,2015-01-01 12:00:00,151
290,2015-01-01 12:00:00,402
291,2015-01-01 12:00:00,93
292,2015-01-01 12:00:00,114
293,2015-01-01 12:00:00,56
294,2015-01-01 12:00:00,53
295,2015-01-01 12:00:00,102
296,2015-01-01 12:00:00,69
297,2015-01-01 12:00:00,53
298,2015-01-01 12:00:00,135
299,2015-01-01 12:00:00,55
300,2015-01-01 12:00:00,100
301,2015-01-01 12:00:00,209
302,2015-01-01 12:00:00,251
303,2015-01-01 12:00:00,131
304,2015-01-01 12:00:00,133
305,2015-01-01 12:00:00,191
306,2015-01-01 12:00:00,92
307,2015-01-01 12:00:00,0
308,2015-01-01 12:00:00,138
309,2015-01-01 12:00:00,136
310,2015-01-01 12:00:00,194
311,2015-01-01 12:00:00,206
312,2015-01-01 12:00:00,133
313,2015-01-01 12:00:00,93
314,2015-01-01 12:00:00,89
315,2015-01-01 12:00:00,107
316,2015-01-01 12:00:00,129
317,2015-01-01 12:00:00,120
318,2015-01-01 12:00:00,103
319,2015-01-01 12:00:00,109
320,2015-01-01 12:00:00,135
321,2015-01-01 12:00:00,118
322,2015-01-01 12:00:00,199
323,2015-01-01 12:00:00,112
324,2015-01-01 12:00:00,50
325,2015-01-01 12:00:00,56
326,2015-01-01 12:00:00,278
327,2015-01-01 12:00:00,93
328,2015-01-01 12:00:00,78
329,2015-01-01 12:00:00,177
330,2015-01-01 12:00:00,60
331,2015-01-01 12:00:00,110
332,2015-01-01 12:00:00,356
333,2015-01-01 12:00:00,114
334,2015-01-01 12:00:00,145
335,2015-01-01 12:00:00,111
336,2015-01-01 12:00:00,245
337,2015-01-01 12:00:00,113
338,2015-01-01 12:00:00,201
339,2015-01-01 12:00:00,240
340,2015-01-01 12:00:00,423
341,2015-01-01 12:00:00,118
342,2015-01-01 12:00:00,285
343,2015-01-01 12:00:00,97
344,2015-01-01 12:00:00,155
345,2015-01-01 12:00:00,224
346,2015-01-01 12:00:00,150
347,2015-01-01 12:00:00,0
348,2015-01-01 12:00:00,101
349,2015-01-01 12:00:00,87
350,2015-01-01 12:00:00,146
351,2015-01-01 12:00:00,242
352,2015-01-01 12:00:00,122
353,2015-01-01 12:00:00,0
354,2015-01-01 12:00:00,106
355,2015-01-01 12:00:00,543
356,2015-01-01 12:00:00,104
357,2015-01-01 12:00:00,238
358,2015-01-01 12:00:00,139
359,2015-01-01 12:00:00,446
360,2015-01-01 12:00:00,198
361,2015-01-01 12:00:00,569
362,2015-01-01 12:00:00,188
363,2015-01-01 12:00:00,101
364,2015-01-01 12:00:00,101
365,2015-01-01 12:00:00,302
366,2015-01-01 12:00:00,238
367,2015-01-01 12:00:00,108
368,2015-01-01 12:00:00,200
369,2015-01-01 12:00:00,111
370,2015-01-01 12:00:00,62
371,2015-01-01 12:00:00,161
372,2015-01-01 12:00:00,95
373,2015-01-01 12:00:00,100
374,2015-01-01 12:00:00,86
375,2015-01-01 12:00:00,125
376,2015-01-01 12:00:00,114
377,2015-01-01 12:00:00,113
378,2015-01-01 12:00:00,53
379,2015-01-01 12:00:00,72
380,2015-01-01 12:00:00,79
381,2015-01-01 12:00:00,65
382,2015-01-01 12:00:00,73
383,2015-01-01 12:00:00,133
384,2015-01-01 12:00:00,399
385,2015-01-01 12:00:00,120
386,2015-01-01 12:00:00,132
387,2015-01-01 12:00:00,100
388,2015-01-01 12:00:00,69
389,2015-01-01 12:00:00,70
390,2015-01-01 12:00:00,134
391,2015-01-01 12:00:00,127
392,2015-01-01 12:00:00,163
393,2015-01-01 12:00:00,67
394,2015-01-01 12:00:00,117
395,2015-01-01 12:00:00,52
396,2015-01-01 12:00:00,107
397,2015-01-01 12:00:00,104
398,2015-01-01 12:00:00,66
399,2015-01-01 12:00:00,63
400,2015-01-01 12:00:00,67
401,2015-01-01 12:00:00,116
402,2015-01-01 12:00:00,141
403,2015-01-01 12:00:00,64
404,2015-01-01 12:00:00,84
405,2015-01-01 12:00:00,199
406,2015-01-01 12:00:00,154
407,2015-01-01 12:00:00,68
408,2015-01-01 12:00:00,99
409,2015-01-01 12:00:00,101
410,2015-01-01 12:00:00,54
411,2015-01-01 12:00:00,114
412,2015-01-01 12:00:00,83
413,2015-01-01 12:00:00,130
