,b1,b2,b3,b4,b5
144,473.0,432.0,401.0,477.0,384.0
145,465.0,433.0,405.0,481.0,378.0
146,465.0,437.0,413.0,482.0,389.0
147,469.0,427.0,407.0,485.0,377.0
148,462.0,431.0,409.0,480.0,392.0
149,478.0,435.0,418.0,485.0,376.0
150,469.0,436.0,416.0,484.0,393.0
151,483.0,439.0,419.0,485.0,389.0
152,474.0,434.0,410.0,494.0,385.0
153,473.0,437.0,415.0,481.0,388.0
154,473.0,439.0,403.0,486.0,385.0
155,483.0,451.0,413.0,496.0,384.0
156,471.0,447.0,412.0,495.0,379.0
157,469.0,430.0,413.0,484.0,380.0
158,467.0,433.0,399.0,481.0,387.0
159,460.0,434.0,406.0,486.0,379.0
160,467.0,439.0,410.0,482.0,388.0
161,469.0,438.0,412.0,479.0,381.0
162,469.0,432.0,406.0,482.0,382.0
163,474.0,430.0,410.0,488.0,377.0
164,471.0,428.0,417.0,482.0,385.0
165,465.0,430.0,404.0,487.0,378.0
166,469.0,429.0,408.0,475.0,383.0
167,467.0,430.0,402.0,480.0,373.0
168,470.0,426.0,411.0,476.0,373.0
169,457.0,432.0,400.0,482.0,375.0
170,471.0,437.0,406.0,481.0,375.0
171,478.0,435.0,404.0,490.0,384.0
172,469.0,444.0,409.0,485.0,385.0
173,470.0,434.0,412.0,477.0,390.0
174,468.0,431.0,410.0,483.0,389.0
175,472.0,433.0,415.0,482.0,390.0
176,476.0,442.0,413.0,481.0,376.0
177,474.0,438.0,417.0,489.0,387.0
178,473.0,437.0,412.0,491.0,397.0
179,476.0,446.0,424.0,510.0,407.0
180,482.0,451.0,418.0,501.0,387.0
181,476.0,441.0,414.0,485.0,381.0
182,471.0,434.0,406.0,480.0,385.0
183,463.0,434.0,402.0,484.0,381.0
184,466.0,434.0,406.0,475.0,381.0
185,469.0,433.0,397.0,483.0,383.0
186,466.0,427.0,410.0,475.0,380.0
187,461.0,426.0,407.0,480.0,372.0
188,467.0,432.0,401.0,472.0,378.0
189,461.0,429.0,402.0,479.0,379.0
190,465.0,433.0,409.0,477.0,383.0
191,471.0,439.0,413.0,481.0,382.0
192,468.0,430.0,410.0,482.0,381.0
193,469.0,427.0,409.0,479.0,384.0
194,468.0,434.0,405.0,479.0,386.0
195,473.0,435.0,408.0,483.0,381.0
196,472.0,440.0,407.0,488.0,389.0
197,470.0,435.0,417.0,484.0,387.0
198,475.0,438.0,412.0,493.0,380.0
199,468.0,434.0,415.0,487.0,385.0
200,487.0,436.0,415.0,495.0,388.0
201,475.0,437.0,418.0,485.0,385.0
202,490.0,435.0,409.0,483.0,385.0
203,478.0,442.0,406.0,494.0,391.0
204,480.0,444.0,420.0,495.0,391.0
205,479.0,449.0,413.0,484.0,386.0
206,473.0,434.0,405.0,485.0,383.0
207,470.0,430.0,413.0,492.0,382.0
208,475.0,432.0,411.0,484.0,377.0
209,475.0,426.0,411.0,486.0,381.0
210,471.0,428.0,407.0,490.0,375.0
211,466.0,429.0,406.0,478.0,380.0
212,470.0,426.0,406.0,474.0,377.0
213,469.0,430.0,411.0,478.0,380.0
214,466.0,434.0,407.0,479.0,382.0
215,472.0,430.0,402.0,480.0,377.0
216,466.0,435.0,414.0,485.0,381.0
217,472.0,430.0,406.0,483.0,384.0
218,468.0,439.0,412.0,480.0,385.0
219,469.0,430.0,416.0,482.0,378.0
220,477.0,434.0,417.0,477.0,397.0
221,470.0,436.0,410.0,478.0,382.0
222,469.0,442.0,415.0,482.0,389.0
223,476.0,443.0,410.0,485.0,387.0
224,475.0,446.0,417.0,482.0,391.0
225,481.0,441.0,407.0,495.0,396.0
226,479.0,438.0,412.0,488.0,377.0
227,480.0,447.0,413.0,503.0,387.0
228,476.0,437.0,413.0,495.0,385.0
229,470.0,446.0,408.0,487.0,384.0
230,486.0,437.0,411.0,482.0,376.0
231,469.0,435.0,406.0,482.0,381.0
232,467.0,432.0,408.0,483.0,382.0
233,465.0,439.0,411.0,483.0,374.0
234,474.0,437.0,410.0,484.0,386.0
235,474.0,430.0,413.0,498.0,392.0
236,478.0,430.0,402.0,484.0,382.0
237,468.0,438.0,408.0,475.0,377.0
238,465.0,430.0,400.0,484.0,379.0
239,469.0,425.0,403.0,479.0,374.0
240,469.0,437.0,401.0,483.0,374.0
241,466.0,428.0,404.0,473.0,375.0
242,463.0,429.0,400.0,476.0,371.0
243,460.0,428.0,402.0,475.0,372.0
244,459.0,426.0,402.0,471.0,377.0
245,459.0,421.0,399.0,472.0,375.0
246,463.0,427.0,399.0,474.0,376.0
247,462.0,432.0,398.0,478.0,378.0
248,463.0,428.0,399.0,477.0,375.0
249,468.0,428.0,408.0,483.0,382.0
250,462.0,430.0,405.0,481.0,374.0
251,466.0,429.0,408.0,476.0,374.0
252,467.0,427.0,398.0,475.0,379.0
253,466.0,422.0,405.0,482.0,370.0
254,467.0,431.0,403.0,477.0,376.0
255,460.0,429.0,398.0,473.0,376.0
256,460.0,422.0,397.0,470.0,371.0
257,462.0,430.0,399.0,471.0,376.0
258,462.0,421.0,402.0,472.0,371.0
259,457.0,421.0,399.0,469.0,371.0
260,459.0,424.0,396.0,477.0,374.0
261,462.0,421.0,395.0,472.0,369.0
262,460.0,421.0,398.0,468.0,368.0
263,460.0,423.0,402.0,473.0,371.0
264,460.0,426.0,401.0,475.0,374.0
265,457.0,424.0,400.0,474.0,372.0
266,463.0,426.0,402.0,473.0,369.0
267,461.0,425.0,399.0,472.0,372.0
268,460.0,424.0,405.0,477.0,381.0
269,464.0,426.0,400.0,471.0,372.0
270,468.0,427.0,398.0,476.0,379.0
271,472.0,431.0,413.0,485.0,378.0
272,470.0,434.0,406.0,490.0,381.0
273,468.0,432.0,409.0,487.0,378.0
274,469.0,425.0,406.0,484.0,382.0
275,464.0,429.0,403.0,473.0,378.0
276,472.0,433.0,399.0,478.0,378.0
277,461.0,431.0,401.0,477.0,379.0
278,464.0,431.0,405.0,480.0,377.0
279,471.0,427.0,408.0,476.0,377.0
280,458.0,423.0,402.0,472.0,378.0
281,460.0,424.0,399.0,479.0,374.0
282,459.0,422.0,402.0,477.0,375.0
283,456.0,422.0,398.0,470.0,376.0
284,460.0,423.0,403.0,473.0,375.0
285,465.0,424.0,401.0,475.0,377.0
286,464.0,426.0,395.0,479.0,368.0
287,465.0,426.0,397.0,479.0,369.0
288,466.0,422.0,399.0,471.0,370.0
289,467.0,428.0,400.0,474.0,372.0
290,466.0,428.0,403.0,478.0,377.0
291,469.0,431.0,412.0,486.0,382.0
292,479.0,439.0,413.0,488.0,379.0
293,477.0,442.0,414.0,498.0,382.0
294,476.0,438.0,409.0,494.0,385.0
295,468.0,429.0,402.0,484.0,380.0
296,470.0,434.0,403.0,479.0,382.0
297,467.0,431.0,405.0,493.0,394.0
298,471.0,441.0,409.0,489.0,382.0
299,476.0,442.0,410.0,490.0,375.0
300,459.0,423.0,403.0,487.0,376.0
301,463.0,422.0,406.0,481.0,377.0
302,464.0,425.0,399.0,476.0,369.0
303,455.0,429.0,402.0,472.0,373.0
304,458.0,421.0,399.0,469.0,370.0
305,458.0,421.0,397.0,474.0,370.0
306,455.0,430.0,395.0,474.0,373.0
307,455.0,422.0,398.0,473.0,375.0
308,459.0,422.0,394.0,472.0,373.0
309,463.0,421.0,402.0,473.0,371.0
310,457.0,429.0,400.0,475.0,375.0
311,460.0,419.0,398.0,470.0,373.0
312,455.0,421.0,397.0,473.0,370.0
313,461.0,424.0,396.0,474.0,369.0
314,457.0,422.0,400.0,471.0,368.0
315,458.0,422.0,398.0,473.0,367.0
316,460.0,426.0,394.0,475.0,370.0
317,459.0,424.0,395.0,472.0,368.0
318,460.0,425.0,404.0,474.0,371.0
319,458.0,421.0,400.0,476.0,373.0
320,462.0,425.0,395.0,469.0,368.0
321,458.0,429.0,397.0,471.0,371.0
322,462.0,429.0,396.0,469.0,372.0
323,460.0,421.0,397.0,471.0,374.0
324,460.0,421.0,395.0,470.0,368.0
325,459.0,421.0,394.0,471.0,369.0
326,459.0,421.0,398.0,473.0,367.0
327,457.0,419.0,397.0,471.0,370.0
328,456.0,423.0,396.0,469.0,368.0
329,457.0,426.0,396.0,470.0,369.0
330,459.0,419.0,397.0,470.0,369.0
331,454.0,424.0,395.0,473.0,369.0
332,458.0,422.0,396.0,471.0,370.0
333,455.0,420.0,395.0,471.0,368.0
334,459.0,418.0,395.0,470.0,367.0
335,458.0,418.0,395.0,469.0,367.0
336,456.0,423.0,397.0,467.0,370.0
337,458.0,420.0,395.0,468.0,371.0
338,456.0,418.0,394.0,467.0,369.0
339,460.0,417.0,399.0,470.0,369.0
340,459.0,422.0,393.0,471.0,372.0
341,455.0,423.0,393.0,472.0,373.0
342,459.0,424.0,397.0,474.0,371.0
343,462.0,423.0,394.0,469.0,372.0
344,459.0,422.0,397.0,468.0,372.0
345,458.0,420.0,399.0,473.0,375.0
346,459.0,425.0,395.0,478.0,373.0
347,460.0,429.0,398.0,476.0,371.0
348,458.0,421.0,396.0,471.0,367.0
349,463.0,424.0,396.0,475.0,370.0
350,458.0,422.0,397.0,473.0,369.0
351,455.0,424.0,397.0,475.0,371.0
352,453.0,422.0,395.0,472.0,368.0
353,456.0,421.0,394.0,468.0,367.0
354,454.0,423.0,394.0,471.0,373.0
355,455.0,418.0,395.0,471.0,370.0
356,457.0,419.0,392.0,469.0,371.0
357,455.0,418.0,395.0,473.0,372.0
358,453.0,419.0,396.0,467.0,369.0
359,456.0,418.0,394.0,467.0,367.0
360,454.0,420.0,399.0,469.0,373.0
361,454.0,425.0,399.0,470.0,370.0
362,460.0,420.0,396.0,473.0,369.0
363,456.0,420.0,395.0,469.0,366.0
364,456.0,419.0,393.0,469.0,369.0
365,458.0,421.0,395.0,471.0,368.0
366,460.0,420.0,398.0,474.0,371.0
367,458.0,423.0,396.0,470.0,368.0
368,457.0,420.0,398.0,470.0,373.0
369,460.0,420.0,398.0,471.0,369.0
370,453.0,422.0,393.0,474.0,371.0
371,454.0,423.0,398.0,470.0,371.0
372,457.0,419.0,396.0,470.0,369.0
373,462.0,421.0,394.0,472.0,368.0
374,456.0,420.0,397.0,467.0,368.0
375,459.0,421.0,393.0,469.0,370.0
376,458.0,421.0,395.0,472.0,369.0
377,455.0,419.0,393.0,470.0,368.0
378,455.0,419.0,394.0,471.0,367.0
379,455.0,419.0,394.0,471.0,371.0
380,457.0,423.0,396.0,468.0,366.0
381,456.0,417.0,397.0,467.0,367.0
382,455.0,418.0,395.0,468.0,366.0
383,456.0,419.0,394.0,466.0,371.0
384,456.0,420.0,394.0,468.0,368.0
385,457.0,420.0,395.0,468.0,368.0
386,455.0,420.0,393.0,470.0,366.0
387,454.0,417.0,392.0,470.0,368.0
388,453.0,421.0,395.0,470.0,369.0
389,457.0,419.0,396.0,466.0,368.0
390,454.0,418.0,397.0,468.0,370.0
391,455.0,420.0,398.0,470.0,369.0
392,456.0,421.0,397.0,469.0,369.0
393,457.0,420.0,395.0,471.0,369.0
394,458.0,419.0,393.0,470.0,371.0
395,455.0,421.0,395.0,470.0,370.0
396,454.0,419.0,397.0,476.0,371.0
397,456.0,421.0,396.0,470.0,366.0
398,458.0,418.0,397.0,470.0,368.0
399,460.0,420.0,393.0,469.0,369.0
400,457.0,419.0,396.0,468.0,368.0
401,454.0,420.0,398.0,466.0,369.0
402,454.0,421.0,395.0,469.0,368.0
403,456.0,419.0,398.0,467.0,366.0
404,459.0,420.0,395.0,469.0,369.0
