,IN,Phy,ON,HBac,Zoo
2023-10-17,60879988063961.09,266456963286.15656,770258923075.6738,500543916135.0929,2117421925177.0906
2023-10-18,60904750493819.84,248218947900.82724,766983765847.8586,500909615656.33466,2156274922673.4575
2023-10-19,60958062810177.88,238789837862.30856,760918660283.0132,500705281046.2757,2175794456823.0415
2023-10-20,61110000314318.445,239219109814.3435,754570686240.8523,501119018955.515,2168880942077.2803
2023-10-21,61275675123289.73,247812636216.92468,748731371518.8643,501985187001.636,2139137170836.8342
2023-10-22,61470283101553.445,250771023974.6917,742325512073.8151,501812926036.557,2118203331316.773
2023-10-23,61648000870084.195,261031761718.16284,735716506393.2341,500885068109.19965,2082843621153.5986
2023-10-24,61821955044910.15,270907515821.96512,730194958496.4656,499435633379.4676,2046080417762.338
2023-10-25,62002657165888.99,248275019341.83087,724772024781.2301,497327221164.89526,2067859070673.5767
2023-10-26,62130246978466.63,254885239214.5929,718055508664.6516,495123658117.5615,2042450872256.6836
2023-10-27,62238920553268.836,269057022353.60028,712946391974.6444,492863259118.5624,2003643283555.776
2023-10-28,62352497154686.23,281636691319.9232,708743175716.1743,490145149854.4267,1967645270139.3555
2023-10-29,62461802756762.53,291619587664.1473,705735060166.3977,487087864234.40674,1936816537087.3306
2023-10-30,62569600224892.055,299484500057.62164,703574959202.7334,483857830464.0906,1912137597367.2
2023-10-31,62653880050284.03,306116072028.1815,702743531713.3214,480842476574.1071,1892840210141.2073
2023-11-01,62710952095730.305,309428493508.1907,702713325780.5634,478009688382.86017,1880325717080.941
2023-11-02,62725244449924.69,298527506640.5246,703395062998.5835,475613135004.9608,1890560777256.397
2023-11-03,62710332565043.06,287571147028.6533,702462331331.304,473223594792.335,1901081094737.5962
2023-11-04,62636639259251.8,281337338950.3801,701853154315.4982,471887638383.8044,1911181840263.2852
2023-11-05,62520536997113.836,270453465614.81348,698641935781.7092,469650229644.13605,1934873030006.787
2023-11-06,62406505586818.734,262671533022.7741,695490216486.3789,468141023929.35767,1953502454036.426
2023-11-07,62369455033026.65,247301204926.37183,691414917122.3967,466467561307.10504,1985702033505.4126
2023-11-08,62469443586217.79,258828007584.11377,687887253031.9441,466005896721.42053,1958559863365.9849
2023-11-09,62544599543159.375,259696482498.65976,683658711743.9829,465021831913.62225,1945958170102.7139
2023-11-10,62544629693340.44,249313125169.47668,678826193394.9938,463372367511.53876,1960242887174.1333
2023-11-11,62489795201839.89,240252136184.97638,674640881385.7319,462039524046.00134,1977274932183.6968
2023-11-12,62416078729007.07,236003267533.6441,669658708064.4827,460098065742.24854,1982067561338.1438
2023-11-13,62428317893611.62,230065963628.01923,664447277996.6064,458907486957.8949,1985588491241.9443
2023-11-14,62502314572778.95,238731861925.1516,658563179781.5216,457827305707.5161,1952040875585.7715
2023-11-15,62624550944429.27,247737379931.38998,651297619596.9714,456201079820.30304,1912245298339.6616
2023-11-16,62751760447968.26,250215497454.73907,643836672201.027,454366880922.07446,1885982850535.4402
2023-11-17,62867573756335.73,259936698869.1582,636942641130.7299,452561800071.32074,1848011795933.6694
2023-11-18,62984676789241.39,267403054012.7932,630524583188.2443,450273916878.7796,1817144920738.6133
2023-11-19,63093121632308.64,267149125332.09668,624852177685.8085,447546912335.5797,1800281340024.853
2023-11-20,63171657139774.15,268778892006.80515,621047887098.66,445496132018.43945,1782654117673.106
2023-11-21,63270089617150.375,272694496757.46423,616633126713.8511,442767130470.4498,1759522618228.1084
2023-11-22,63368720994817.305,263645866853.27185,611344745597.1067,438912206904.75836,1752532377766.9912
2023-11-23,63463520686534.82,268841134105.51935,605948707634.1926,434992824475.2435,1724900992147.082
2023-11-24,63567673388892.016,275664941237.3065,600361489754.7583,430310596130.1342,1693841137671.8516
2023-11-25,63673107184942.3,279327704370.20166,594608770157.4897,424850984252.0947,1666338145325.2285
2023-11-26,63770477290073.836,280179401962.8431,589215619795.1149,419108727238.46814,1644757355457.188
2023-11-27,63861136842215.555,279070851715.0888,584478819403.7065,413504149929.71545,1629745495148.2063
2023-11-28,63918721433192.29,276495465384.7317,580490361153.2117,408325174223.2968,1619747625243.3228
2023-11-29,63955109447513.53,272780635218.05328,577070186922.6708,403712740752.5397,1613142233956.269
2023-11-30,63981026019329.83,272015550647.69177,574233386829.4974,399830913237.0718,1604042981602.7725
2023-12-01,64001124638873.76,257079958226.31894,571178989179.5685,396118406272.63666,1615804444497.1758
2023-12-02,63994227560485.38,251041458686.8676,567669409712.8049,392853059525.4761,1614869084448.1116
2023-12-03,63945859466329.766,255111630039.77496,564594745322.038,390181344743.3458,1602650419717.3354
2023-12-04,63847591668842.07,251963987337.39917,561376238917.6404,387760698910.3564,1605352084437.7773
2023-12-05,63637517477366.08,240666311636.68158,557978180716.828,385453041776.61725,1625443997628.474
2023-12-06,63415349165145.17,238353542694.1377,554624973744.6067,382949236968.437,1632231917239.6035
2023-12-07,63362683106176.02,241412714008.16425,551689292431.096,380749899849.992,1622740060675.8105
2023-12-08,63426947163402.57,239424158280.71228,548787569146.0733,378653021254.87555,1614610961385.5693
2023-12-09,63439292893557.29,249394814427.20813,545816296769.46106,376500290500.7384,1583786450448.1829
2023-12-10,63307543356151.914,237901228194.07257,541540610738.3332,373317347583.19977,1602332583815.7224
2023-12-11,63231968766598.55,233799021835.67862,538263874043.3481,370621064639.49994,1601069455125.7444
2023-12-12,63240566913148.39,237824719281.973,534600263354.24805,368104479522.5951,1574961703529.1462
2023-12-13,63306849715292.0,241217375421.81607,530767364201.2046,365784877994.18756,1550882567010.9163
2023-12-14,63371632596360.484,238780104736.87024,526168523898.54865,363121095469.1676,1535455528744.2302
2023-12-15,63460376698773.78,237447134648.52576,522300269305.20074,361056302833.0085,1520129524423.1494
2023-12-16,63545886924009.01,240538304358.9779,518576010032.1064,359214329356.0551,1500317861096.54
2023-12-17,63657696965163.695,243699556170.1161,515046470034.58435,357454151035.92505,1481313664739.2593
2023-12-18,63796566049107.67,250156022267.9441,512100743225.02,356081112077.11554,1458355672592.8384
2023-12-19,63899886800280.484,246433589845.59662,508560494441.5345,354093442449.3832,1451581839142.4087
2023-12-20,63948786532200.54,240641005933.6766,505627033079.8151,352146086232.92706,1452327992248.7087
2023-12-21,63979060401398.305,240847965968.6141,502904696716.3175,350099567090.0012,1445195677801.4585
2023-12-22,64020943972795.18,240314771838.89072,499834194814.09454,347627741676.0773,1436336103090.1567
2023-12-23,64064815308467.516,242608170637.19873,496379193412.8644,344787975832.9122,1419038648854.8503
2023-12-24,64107853962872.81,252050890862.59714,492876180147.7141,341930555820.47,1391340819514.369
2023-12-25,64088660856150.77,248502049154.5573,488470020150.80743,338391821502.80945,1385334501612.414
2023-12-26,63931649242983.55,239027004584.01395,484730853717.11957,335107785422.10645,1396962881827.3555
2023-12-27,63787955393211.31,247474063107.61243,482477111088.1198,332810545096.36584,1379448474382.7114
2023-12-28,63673161655846.53,241086305143.9395,479445662073.1928,330215875090.04224,1388096172887.6606
2023-12-29,63638648503267.75,238529257684.8797,478211596577.8087,328420084143.55347,1394182335009.2158
2023-12-30,63656719033678.41,238407519098.01477,476924580951.7977,326517648108.5684,1390101124481.6328
2023-12-31,63703423647583.79,237634868958.82318,476376392249.77545,325004029476.62665,1386603248060.9084
2024-01-01,63764515496937.79,244764600599.45215,475704218865.2947,323601007280.3085,1363654446985.1318
2024-01-02,63801658917538.81,251599443555.33447,474707699889.30164,322238635552.85315,1342056250429.2412
2024-01-03,63832059810394.64,246495928497.48956,473454086035.66235,320893293052.0929,1340359536348.6274
2024-01-04,63864410700451.195,249250095123.609,472465279953.2241,319776443673.5702,1325904676855.2458
2024-01-05,63911294361194.414,254599400276.5243,471323572000.2067,318822195993.66986,1307448153372.578
2024-01-06,63963697297273.79,251451627150.88312,469563995198.4411,317795378181.54926,1303160895431.7324
2024-01-07,63973956713356.71,261114452498.25262,466844244300.7265,316070447549.08826,1274179202111.082
2024-01-08,63994317364536.4,271175902367.18835,464129073639.74176,314528079427.69556,1250004702989.6284
2024-01-09,63993988231022.7,261513703365.8273,460458153986.0022,312336973628.52234,1252799140895.5474
2024-01-10,63968198656733.83,258889983400.39532,456454381385.4114,309561819581.5159,1243926608098.2808
2024-01-11,64035495378047.984,266483247294.0722,454153599540.1265,308003116243.3877,1225023096879.3853
2024-01-12,64125817704123.086,272116428190.23083,450716042373.2811,306072949658.87506,1209230377097.9468
2024-01-13,64239461666072.695,280759517018.58075,448075999474.1416,304548511931.3726,1193588853287.04
2024-01-14,64327803827393.08,290140159932.3916,444634552935.03674,302409624173.48,1175491298848.8079
2024-01-15,64404146127102.43,299924657390.754,443157098235.31195,300977252333.2773,1158156066664.2222
2024-01-16,64466383725649.875,310781941394.33777,442253933942.3608,299666025787.1048,1142184799985.3657
2024-01-17,64517953343876.586,316590405188.31604,441300243524.5797,298022910190.63153,1130047774469.1025
2024-01-18,64555329741087.13,308677976081.8886,440520116159.94824,296221170025.70703,1132129420731.6926
2024-01-19,64589194051717.734,296971395326.2883,440013783229.2552,294692423117.4446,1139910983026.873
2024-01-20,64567011696875.87,287543504821.53705,438266946037.90564,292557310404.6768,1142994129956.369
2024-01-21,64511946625715.48,289421930797.7155,436415749032.30383,290360790095.07574,1133178060165.9229
2024-01-22,64405334618848.91,285315906844.6601,434749749888.8802,288137396547.1676,1135783282591.7031
2024-01-23,64280391654343.34,279090390920.82166,433222970127.9794,286005405103.4446,1143348257107.33
2024-01-24,64194403086394.36,282162726447.1604,432441810696.0903,284412005992.96954,1140174712137.0142
2024-01-25,64116989743150.445,280844273523.8624,431601345712.54834,282823021224.004,1143914876017.9714
2024-01-26,64110922949149.3,278850566492.2384,432075438273.6788,282046655021.78644,1149657160461.1929
2024-01-27,64102458599800.875,281491496283.4885,432495400017.5631,281359004936.9415,1146415641063.7085
2024-01-28,64090867396530.1,278556908032.3722,433166693898.51886,280884043371.4725,1153452519048.4624
2024-01-29,64080934787837.76,283624569187.4145,434074301623.38055,280662034354.426,1147755049345.46
2024-01-30,64097627879919.37,287330094802.11053,435177285497.5737,280749600783.3487,1144092183506.9873
2024-01-31,64109693629670.82,296558300031.31287,436180483436.30475,280922985001.02814,1130535927577.7417
2024-02-01,64100036121283.57,295211930527.0681,436623066992.5823,280861075104.88855,1131184957807.1711
2024-02-02,64093266835833.34,305013435172.07367,437439308827.21106,281164908480.7852,1116784054713.5322
2024-02-03,64105774291103.59,318390384661.18787,438039611430.9214,281634163057.58093,1097588299423.1392
2024-02-04,64131223050168.48,336336921161.85803,438258376677.5855,282065798971.6183,1070567515304.356
2024-02-05,64133602443377.89,353730246900.2007,437370941127.69006,281932679848.73456,1041842737489.0748
2024-02-06,64105033769854.64,359622766512.381,436011655696.1592,281361204723.7244,1023900801632.0564
2024-02-07,64057210029135.09,376499394074.13086,434437110556.8494,280630336793.59393,996991076557.0426
2024-02-08,64007706678203.086,392830895910.16187,433552791828.3558,279575509290.087,973781532276.0248
2024-02-09,63965077128507.64,406941214598.1151,433608914016.30725,278373241694.60565,956937734393.3
2024-02-10,63945631272494.17,417755370759.7311,434835810720.0031,277494393579.39044,946356801331.2864
2024-02-11,63937231245970.84,412430941654.7514,436769420008.1553,276677284850.60046,949895780002.2047
2024-02-12,63956285342891.43,393629403437.62805,438782526441.19446,276061865917.9247,963359016208.232
2024-02-13,64006115731904.52,396162114645.04877,440788355481.2165,275847380209.24133,960652883850.9851
2024-02-14,64043062883832.164,416329385375.62976,443631894884.6173,275644530294.05225,946150207005.3369
2024-02-15,64064381807395.14,434420497155.17145,447952813119.9608,275387849113.61755,934208862169.1799
2024-02-16,64074825991292.875,438752322614.7372,453057060421.048,274964540230.78094,929940657259.4487
2024-02-17,64041100808689.586,465752667374.91614,458670776637.2533,274457961417.99127,914143140306.395
2024-02-18,64006256681705.6,459803256038.8593,465523866441.25635,273701419406.3667,916459856099.4012
2024-02-19,63959138945586.234,445362465136.39307,471710527188.0571,272805939856.57693,920436664384.1047
2024-02-20,63890831354209.53,445360444029.91986,476493630901.63245,271685194737.75092,915840770955.7257
2024-02-21,63831580296694.836,437623072471.2322,481453746087.4839,270731960474.13092,917316116937.2513
2024-02-22,63751664985214.516,427277685706.3543,485570799597.7135,269889965264.50198,922844655562.1716
2024-02-23,63693061231125.54,433487161026.20074,489774034603.28455,269731648387.45926,921291009843.6306
2024-02-24,63665179789973.484,455427379943.6489,494537727788.57935,269874627483.44052,910810594851.1213
2024-02-25,63672546789601.26,446183247235.4064,500191929601.1607,269978332646.7069,916310479259.5948
2024-02-26,63688590043985.04,430937307215.9799,504360322832.6743,270245303122.93845,922698872458.8787
2024-02-27,63720175611209.86,455480139315.48193,509240071234.952,271560578218.52734,910257942417.1025
2024-02-28,63757250749667.19,459597278025.5548,514966398815.60205,272978607463.19037,911631132412.4437
2024-02-29,63755607502942.46,440673675215.25793,518506799509.3706,273971253152.8324,922397442357.1113
2024-03-01,63741105909650.68,450857558357.50977,521617558361.7821,275808906750.62695,917768697910.8677
2024-03-02,63717656858287.37,454096850505.1586,525051726071.57434,277993780860.8661,921469935177.2517
2024-03-03,63657850186023.695,474371450355.9579,528028684051.9397,280026290442.12006,916148135194.3242
2024-03-04,63658190094810.59,473680991379.8527,530876901871.05334,281766753254.28375,919798548459.93
2024-03-05,63639747875003.09,501357729656.4523,532286239589.4302,282989523057.6564,905378886138.6599
2024-03-06,63574373792710.9,540564709571.1661,535041266236.5498,283416845821.46423,887736175398.1262
2024-03-07,63496953326749.15,570356727741.7225,540567237535.9229,283383675963.7475,877129114221.3411
2024-03-08,63383090024440.6,606435544413.8583,548934551938.3752,283244123673.9949,868741841711.1633
2024-03-09,63272530424857.43,579800708778.5504,560421939426.3127,283212201900.1285,886356953533.1003
2024-03-10,63083437468294.34,563144659397.2719,570063980612.6156,283343473335.53253,902970836582.7529
2024-03-11,62892400106248.83,559435381595.4554,580546139787.0026,284653007201.52637,919827840667.8318
2024-03-12,62816785908558.3,541857906596.36194,591032547154.6749,287190302379.5497,941036121552.1196
2024-03-13,62792594196029.59,548792393101.2267,599376957241.0001,290239479610.5435,951507931967.7388
2024-03-14,62841230179613.45,587274646815.5117,608611398210.8157,293944487011.6212,944591885625.7727
2024-03-15,62822875844466.97,640293132504.2401,619433168947.1704,296741771488.1063,934600662872.7074
2024-03-16,62730212881661.734,704459930798.0913,634346100078.657,298992775054.5632,924045337105.4604
2024-03-17,62594283054056.43,787373578621.2462,655052897890.1353,301129950496.7446,914083617267.4707
2024-03-18,62410705232889.9,899355986381.3982,683524235281.9207,303305784475.39923,904489434339.6709
2024-03-19,62175625102263.64,1038325442630.3184,720706664935.2361,305352773040.2978,899422221348.751
2024-03-20,61916037215197.32,1187270780680.7231,768217085439.7858,307503523600.58606,904010700619.5923
2024-03-21,61703203528144.57,1268426588529.1396,826931307810.6653,309846280439.19556,925138677321.8859
2024-03-22,61480170161955.42,1339808536163.836,894083450327.1675,312604360724.2651,953688726317.8845
2024-03-23,61354155818897.2,1284725682369.8975,971003031490.7562,315533067362.2866,998914986351.6975
2024-03-24,61263145245312.28,1195309075670.1147,1049029722844.8579,318215296040.0328,1044424642317.8779
2024-03-25,61073668267160.57,1219523931014.0654,1131374346469.9329,321208790908.45935,1078573734110.0654
2024-03-26,60989133552043.13,1144960911421.71,1219718272712.9753,324571381750.04315,1121946788430.0876
2024-03-27,60836050541285.31,1123709538790.8594,1307532560398.5127,328248510785.7836,1154312265964.4453
2024-03-28,60641034119726.84,1059496461729.2479,1396707897704.288,332476659084.6196,1190809165917.9521
2024-03-29,60410160793464.49,1011619137677.3373,1485200461840.1848,338052332204.66656,1224164900958.546
2024-03-30,60231839596706.266,997972115864.779,1569317059984.8025,344553732869.351,1249046360007.2068
2024-03-31,60072823394185.625,1035397374404.2485,1649756098239.9,351429152243.3944,1266355711653.649
2024-04-01,59875381432389.555,1102661145937.4543,1728348914339.623,358114448014.2282,1280513482198.1492
2024-04-02,59676918570663.73,1157284363967.4236,1808379958575.4912,364793120785.3438,1299103815599.8486
2024-04-03,59543134109550.1,1131644040013.7727,1887061417910.0376,371173488107.7,1325603693287.8813
2024-04-04,59405285897758.82,1105348465771.0178,1958626770665.1343,377439955276.877,1344362874525.6453
2024-04-05,59271303924365.66,1101255320187.7163,2020182280569.6128,383116454819.2794,1357085348989.7905
2024-04-06,59190105784711.46,1098242427722.5148,2076715953612.5132,388493022043.9369,1369569393637.4453
2024-04-07,59164336745596.914,1038509947987.2137,2134214910571.7302,393995860788.6515,1393993173624.9263
2024-04-08,59168953181369.21,961146475390.1611,2185177339633.1738,399157687546.41125,1414069787162.9863
2024-04-09,59191512535647.23,837963520803.2744,2234321161196.6396,404820102466.68585,1441725435381.273
2024-04-10,59111062779949.336,826492271357.7736,2278893780833.2817,411723393190.14056,1440922613093.4956
2024-04-11,58984524183217.2,856452655533.3973,2324209868850.72,419473983644.0812,1442344035848.637
2024-04-12,58992514355403.625,780247944620.3663,2360848147089.139,426912187566.4826,1465589361220.3887
2024-04-13,58945730816581.625,795502210154.5676,2386735389665.902,434775417020.45624,1461650111337.3877
2024-04-14,58850444941087.97,863973647502.1802,2410787328562.5977,442453275614.35944,1452913656765.3848
2024-04-15,58743412928020.92,939389754642.5156,2434312449193.16,449512948512.1567,1447954449586.116
2024-04-16,58635157057629.0,983715336524.351,2465386537040.768,456716013148.9497,1457062614860.6494
2024-04-17,58533596777118.38,1032694695151.0743,2489349071181.8555,462548977623.5882,1464859171115.19
2024-04-18,58385203804849.44,1111975041128.442,2521347058850.6406,468089209598.5301,1470707220344.5059
2024-04-19,58261223484277.64,1196099136008.4436,2552206094975.4214,472114236049.661,1476178642203.5596
2024-04-20,58141529172320.3,1268037653218.6362,2592278310119.4434,475386377011.7012,1488964375638.894
2024-04-21,58104418061021.75,1235127687174.8887,2638690596926.9536,478155443169.8411,1523060150375.459
2024-04-22,58088625219175.1,1170859047889.356,2689388408876.405,480868302770.2477,1557931055647.418
2024-04-23,58016212228289.68,1175376038973.0479,2737769604674.8535,482971648066.1599,1583667396149.5
2024-04-24,57958064055211.984,1167433749448.3254,2788029504133.6685,485157465067.2656,1615022274229.9287
2024-04-25,57964966444569.53,1070820044736.6455,2839549884242.2847,488056869169.59015,1662479796532.7942
2024-04-26,58018910732051.78,911476373078.6561,2882229920360.0854,491116976688.7611,1721503717572.8682
2024-04-27,58033799201536.64,806395977956.3606,2911379708645.862,494946531287.3186,1766657338451.4048
2024-04-28,58042728344175.445,712465425991.612,2928505019222.478,499722342274.75446,1814890696716.0664
2024-04-29,58052997783692.69,644685159186.227,2928038106881.7715,505444183904.96075,1856337414095.5466
2024-04-30,58009250874994.87,661759521726.7177,2913385358323.316,512157198424.2931,1862569968153.752
2024-05-01,57961928428689.06,688895374125.4878,2894702053342.1855,520084786128.896,1865630604566.5532
2024-05-02,57904496946804.766,744622345433.3816,2873644684446.685,528406543541.07465,1852244916623.209
2024-05-03,57869361885213.72,797039636059.7491,2850294298944.5356,536382943591.8159,1837832492817.787
2024-05-04,57865580630299.49,830796939346.6146,2827462744607.5073,543855781459.94275,1831200226146.7432
2024-05-05,57965257512064.22,758871208361.4651,2803952581687.1455,550882463121.4252,1872342178528.7239
2024-05-06,58084557075976.55,662866140332.0669,2776606334434.166,557802749428.571,1936179282716.9614
2024-05-07,58148949405417.15,614361423787.3243,2744618782838.24,565003633659.2621,1982224550852.4783
2024-05-08,58117290438470.67,644159956456.4592,2716337439150.504,573765375382.0092,1988127068452.0894
2024-05-09,58049076611341.25,687700098855.8964,2695614058904.6895,584099227342.5763,1990919266232.8425
2024-05-10,57949922549181.836,731612526512.6185,2680469664031.9507,595904983707.462,1994227725641.6855
2024-05-11,57842914541588.875,777253446620.3137,2667802310760.053,608602194704.8895,1996193415369.9497
2024-05-12,57727872100690.27,822576889839.0466,2659110852681.021,621772737556.2698,1994590270127.2646
2024-05-13,57603764842443.914,864568340883.7631,2653579234226.462,635124279349.8728,1993524406000.4136
2024-05-14,57510841567833.484,878714738529.7363,2646990885955.033,648040409183.0294,2002430927043.5852
2024-05-15,57385895677614.33,935734734996.5569,2639230100092.799,659824916494.8395,1986258990759.4229
2024-05-16,57296808918791.29,986142530840.739,2629017805497.4673,670039485147.7908,1970357103843.0337
2024-05-17,57332663143284.71,945097279293.2681,2614781248605.086,678416701795.6754,1984806170807.4287
2024-05-18,57282194786770.086,992112907646.633,2599650923564.295,686057410018.5818,1970998058861.9253
2024-05-19,57299957753597.57,989298214311.6147,2584595729733.8525,692432525680.4073,1974782013624.8433
2024-05-20,57251244000946.555,1046089730659.6953,2571146202468.2646,698590231218.8792,1961121641114.0046
2024-05-21,57197042165849.164,1101317437305.4905,2563981290604.4863,704783923990.0394,1953677984624.579
2024-05-22,57335454742102.586,955976103915.4199,2555392880693.413,711143576437.2247,2012452585862.9614
2024-05-23,57333300956134.516,949613979374.18,2533909523228.277,717849493362.3245,2028576880168.942
2024-05-24,57238912195749.88,1005961800748.6245,2518585501142.637,726337809471.312,2025192746014.6597
2024-05-25,57294952613552.984,889884048901.5834,2501943778379.329,736354158199.5735,2087137033554.7192
2024-05-26,57260859640627.336,860727697658.7035,2471175216905.425,746871247937.6785,2117066544888.2178
2024-05-27,57302068408290.83,748961110041.5315,2433541316492.846,758067956817.9808,2187800153785.5767
2024-05-28,57354139788836.26,688172349533.2167,2375770395794.9395,767827595579.5559,2234345982695.973
2024-05-29,57441190757977.4,619128950426.6918,2307104169903.498,776654536501.9183,2284305576000.5615
2024-05-30,57476156099431.77,624741594683.8352,2232282695155.503,784841425207.8066,2283683059561.4824
2024-05-31,57503754652269.06,664294455432.0162,2159417912975.082,792040827953.0876,2253704813762.575
2024-06-01,57554923679096.22,710297308063.5625,2091809913032.1836,797737794629.0275,2213758364514.1245
2024-06-02,57690082774672.445,693862363942.7198,2026900394913.3442,801592776720.0585,2208770065579.5537
2024-06-03,57863682318249.4,619572876484.3962,1965883532068.312,804235533664.195,2246299188529.805
2024-06-04,57958832470814.08,583137659839.5452,1900721537493.4912,806767944329.5732,2271225983713.03
2024-06-05,57987718068893.125,579653616354.8235,1835087459874.0068,810117479727.4048,2279306643122.3228
2024-06-06,57926365597109.625,635512607044.5519,1775037063960.9473,815855607341.135,2246733511727.577
2024-06-07,57849206141736.2,702898837243.6443,1722475854920.0098,822763002849.5815,2209722463002.675
2024-06-08,57743275009959.88,773773884617.6409,1678032763758.0364,830675730136.1628,2176293743013.8848
2024-06-09,57630181060277.9,828993752817.8264,1640268351979.7114,839104784077.1094,2153865424791.3918
2024-06-10,57532541201074.375,856480005992.8652,1607483390821.1284,846912075465.052,2143962947067.1978
2024-06-11,57433424562031.2,872929047265.385,1576255167212.8035,854474423093.7905,2136194463124.5884
2024-06-12,57367788228582.484,875940468909.6785,1545649268528.1902,859806465866.9615,2126024466336.5225
2024-06-13,57300472262475.76,906994535976.1394,1513571635239.85,863084570488.515,2101436361133.5015
2024-06-14,57255016842619.016,952651648311.6769,1486890732360.9385,863562383004.0029,2067880184724.54
2024-06-15,57266546273801.21,945278646708.9587,1465407214980.489,862834755464.7438,2053918868119.2637
2024-06-16,57312544946519.99,933910489406.343,1444104937652.2952,859576824365.985,2039381131196.3147
2024-06-17,57408546745767.445,905255457907.497,1418992414660.27,854520247142.4752,2034619248615.9106
2024-06-18,57501033714996.836,891420503615.1624,1393046385011.8682,848316214597.1091,2026856111372.1016
2024-06-19,57570256940803.65,902870117607.3376,1368501862830.996,841413223914.0908,2016504043105.886
2024-06-20,57601959934277.29,929148179798.1456,1348909463627.291,834735378118.58,2009575956006.5986
2024-06-21,57637875863130.84,947637879600.7324,1332604665323.192,827980271018.8877,2011512416381.753
2024-06-22,57657271573608.53,960211812400.249,1320803280600.036,821999028845.2091,2020164162528.6743
2024-06-23,57674239906964.76,939475277041.0695,1310595677245.6775,817341401729.8868,2041056329334.039
2024-06-24,57638981932134.164,905803903382.6245,1301407879005.0479,815018981376.8656,2066499032371.1816
2024-06-25,57582455471917.27,911356898839.0051,1288602156309.1147,811610632336.9099,2070930758210.355
2024-06-26,57505350252009.72,928517732107.0272,1279860189762.8237,808337338102.6074,2070448720148.1025
2024-06-27,57516858800937.07,863438433570.216,1272727582032.2437,804635404573.8798,2097265491042.115
2024-06-28,57542914896237.484,811944793500.5762,1259129093394.809,798908131464.9835,2109148304624.9111
2024-06-29,57559773282423.22,815718847723.1912,1245128442153.1042,791105556188.8585,2093712830101.2178
2024-06-30,57612768779585.42,813590283571.2366,1236800525881.8633,781968132109.1041,2078361129973.336
2024-07-01,57717455440161.63,792242687862.7007,1227136173684.846,771084799981.3649,2068454288920.9482
2024-07-02,57767463830692.516,826715369537.521,1221648448753.9463,760708743178.7197,2038377462712.3276
2024-07-03,57797507301043.016,849922782615.5267,1219549286179.5088,752513206956.5139,2023160466320.125
2024-07-04,57792961606999.086,877372420439.1848,1219738176723.186,746430220751.758,2015449648819.3882
2024-07-05,57763005088468.086,903835681181.8679,1220887546175.1697,742471377999.4766,2011236958821.62
2024-07-06,57706885003619.35,931433150982.1039,1223285202188.2407,739906816899.6459,2007430065079.4993
2024-07-07,57631280158182.11,960505708893.354,1228741209546.5547,738406107650.1355,2003155275914.059
2024-07-08,57522163746276.79,990507920139.4614,1238393996656.2866,738753511532.1968,1996856985042.4023
2024-07-09,57400005630515.32,1015578085886.7651,1249384596298.9563,740133393984.0051,1990908479957.3032
2024-07-10,57303682238665.26,1035490586303.98,1260425591305.155,741050565751.7429,1982978150200.6724
2024-07-11,57224630541442.49,1048828201018.9825,1272230661535.7256,741905371257.8003,1973996311557.6865
2024-07-12,57146574702708.68,1066569684205.2017,1285125480341.1653,742823835094.3398,1962777227151.4678
2024-07-13,57104828627259.58,1091666820747.1069,1297340341021.0637,742619605528.6041,1944950199199.8123
2024-07-14,57122997438163.24,1112068558556.688,1308179639053.6252,740888067838.6813,1925515114725.3599
2024-07-15,57158489754794.07,1126405738612.0474,1320056070687.1824,739034591675.4064,1909431450405.3232
2024-07-16,57211466596213.17,1116256567723.5745,1334224687430.3726,737940075022.2355,1902232045532.0015
2024-07-17,57268654030982.77,1097675066893.1947,1345517926614.0576,737424069367.3823,1901842587160.0522
2024-07-18,57345878294949.74,1066985265595.7004,1352685406684.19,736623232063.7124,1909848672846.2703
2024-07-19,57404207246921.9,1031087329370.8652,1354996045283.4937,736782831014.2709,1926172610828.1118
2024-07-20,57388575458581.06,1012335795606.803,1354052181483.5044,739354980318.1775,1945569965250.7146
2024-07-21,57409489121392.43,994356789017.2925,1346318779380.104,740596066362.9144,1962628106017.3357
2024-07-22,57445261299798.31,946564350818.2008,1335428187767.4822,741896569139.562,1988186118682.5405
2024-07-23,57434033502221.9,924202582458.4677,1321748450718.2666,743351094901.575,2004067618386.3157
2024-07-24,57401633676121.62,914176010620.1069,1307610712786.5913,744526511032.4614,2013670230684.6675
2024-07-25,57395408137692.53,899163899139.1337,1294217983228.684,744619647183.296,2020842261051.5913
2024-07-26,57380814196948.32,886738209488.6141,1282257039288.4082,744458189844.0111,2025694406874.651
2024-07-27,57373039055054.55,888275194059.884,1273949027931.933,743218490811.2311,2020601523887.7273
2024-07-28,57393801053205.17,886443163521.8126,1268740953906.2678,740376590671.7936,2012249322037.2046
2024-07-29,57427443515635.51,880234316805.0189,1267101995507.1365,736687535837.1597,2003110555304.0298
2024-07-30,57567413609229.07,782515353075.4167,1265067698007.5664,731987444861.3236,2029030483685.7832
2024-07-31,57715107428099.555,705096217256.3103,1249382190122.8704,726148379832.5299,2047617618304.3804
2024-08-01,57799029301040.57,691085941081.0259,1228386791631.0454,720678011883.688,2041940625520.3267
2024-08-02,57828133901232.57,701364216462.6642,1211301475415.5505,716703389529.0309,2032929361953.7747
2024-08-03,57836689823858.484,707162795584.7793,1194781516462.083,714037663757.0844,2030435758332.726
