,IN,Phy,ON,Zoo
2023-01-01,80269627059507.52,377237990258.6307,751306978796.077,773253412276.9852
2023-01-02,80253325785448.94,382739206878.4016,743701981375.274,762387028804.2815
2023-01-03,80240521687386.1,390379403216.4271,735811601291.0063,749737134936.0874
2023-01-04,80265985484096.77,396879811236.1992,729383103031.1614,740637808776.5906
2023-01-05,80178846282791.39,406028524858.1531,722708685653.4983,730512691518.3901
2023-01-06,80040367946313.66,403007465528.56934,717977487920.1735,734761339700.9733
2023-01-07,79914217681059.31,398522922444.5983,714268755167.7615,739263508516.486
2023-01-08,79860090655633.16,392892695218.00116,710894944977.4675,741962494290.2112
2023-01-09,79838131674168.52,388610714980.97485,707814218534.7776,744123177685.9204
2023-01-10,79837405125678.16,388938500343.4887,705042084847.936,740781294765.4563
2023-01-11,79857000925476.47,399824060589.18787,702327107096.8032,723729374357.6869
2023-01-12,79817078053347.05,400462963582.8188,700231061723.5424,720308089740.1641
2023-01-13,79754462158659.27,393582711056.10864,704233221755.1814,724358439944.7418
2023-01-14,79736914950771.8,391666752539.14294,709755887092.0175,718592585311.3502
2023-01-15,79677920679915.44,402056230027.2812,708556080608.0706,699774933442.3683
2023-01-16,79627342306360.06,403241419529.8461,704417437927.3961,692540891817.4072
2023-01-17,79629475691660.25,404520317702.44586,700928248369.6804,687213454849.6575
2023-01-18,79592668554449.1,403406391073.72485,696842452893.2279,685909300424.7145
2023-01-19,79588305723859.4,409539931146.3711,693591734256.6298,676500563848.9609
2023-01-20,79569181657122.64,424089071309.12726,689258194245.5824,662623704970.4204
2023-01-21,79522448093526.84,432771255627.16656,683863383257.2567,656037872440.2144
2023-01-22,79489265052662.39,425114633172.78906,678284737777.0432,660080032751.6803
2023-01-23,79446011640321.42,436487743029.42786,672850937520.3448,649658653528.6698
2023-01-24,79399418364612.8,438425779966.9435,667121685247.3594,646394503882.7318
2023-01-25,79386031523559.77,432570585833.7384,661832120734.3926,647888218824.0527
2023-01-26,79366625970503.8,442228070293.0751,656683798476.3978,637236799001.2449
2023-01-27,79348610983408.28,441727929244.0476,651441601774.415,632413549921.7643
2023-01-28,79335431564124.19,452743847077.3224,647137409333.8097,619993735104.8722
2023-01-29,79339600365655.67,465660087125.8705,643829633029.1558,609134439078.3981
2023-01-30,79331261135490.2,483777565838.7271,641138541065.2527,596622346323.2573
2023-01-31,79326841466084.03,487811612362.4799,639382005327.2045,592929265148.4098
2023-02-01,79325134637786.75,477608866501.0144,637882169124.3416,597552308243.8206
2023-02-02,79296251016840.0,471421381503.7381,636731563780.6487,602396080314.1316
2023-02-03,79201488032248.02,468940562749.64624,636051560749.3845,607420460578.695
2023-02-04,79041305947500.02,460103414126.93317,635825165052.6315,618913637126.2067
2023-02-05,78941704582266.39,453081010919.85516,636608710321.1163,629640546509.2906
2023-02-06,78941736165078.05,451788990847.61584,638531670350.9414,634390899006.833
2023-02-07,78910051643125.75,446476075172.49994,641293404908.5208,643828940110.085
2023-02-08,78885607783410.78,454286990331.3943,644982509820.965,642464493170.9854
2023-02-09,78910100984016.81,471837114527.6992,647085869135.2018,635287391154.5529
2023-02-10,78914347879972.28,480312769484.2108,647582751341.9443,633866413282.1265
2023-02-11,78993009467309.38,490313468802.3124,648962537259.9469,627930650548.5594
2023-02-12,79074393791485.69,506161392044.86414,650278820876.883,617914314138.7998
2023-02-13,79189989476095.22,495920482157.70355,650815042443.9989,621504687405.5791
2023-02-14,79292008860917.0,500807900786.11865,651247825361.8385,619836435008.7863
2023-02-15,79328359679603.95,524052411502.40454,652214698527.7228,611956754907.5361
2023-02-16,79336664262177.89,535663355805.90686,653873789604.4202,610169774310.3185
2023-02-17,79383548248555.66,520618063049.62195,656155760917.5452,620682121419.0836
2023-02-18,79424257795269.69,528418717305.0563,658795837286.8644,622255640910.916
2023-02-19,79477551249628.1,528172856863.5544,662013952433.9385,627079227258.9309
2023-02-20,79549197102452.08,502431287636.2593,664509385688.22,642605401852.4591
