,IN,Phy,ON,Zoo
2023-01-01,64896556507845.21,397527575517.5681,237999526145.3327,637821800393.5265
2023-01-02,64878039000169.93,392179002964.9185,271680270056.89642,643027131975.8492
2023-01-03,64873877658660.016,391042811839.954,303109831482.3174,643919236468.3168
2023-01-04,64847761743587.46,392153951522.9761,329885206747.4124,645194059252.0627
2023-01-05,64818475007440.98,389770100261.72845,354672638985.1853,648914671994.9033
2023-01-06,64795259606922.71,392258875738.00415,377946834786.74603,648920604465.4529
2023-01-07,64784217300883.164,392864451186.8353,398436946887.7656,649861458367.3866
2023-01-08,64754783884273.086,401299541068.61597,416700215074.2257,644254346667.6724
2023-01-09,64742278393010.734,398766427446.75305,436211917135.8544,647426482637.8789
2023-01-10,64733387213639.22,399415036863.29535,456885822983.8513,647439734620.2921
2023-01-11,64699994661001.26,397629751596.11115,482743695958.26306,650214664498.5037
2023-01-12,64633963289151.77,392937549276.6029,512944227120.4738,655778152482.2041
2023-01-13,64570027145662.77,392611484847.41016,535455915263.001,656880765425.3375
2023-01-14,64513050133488.77,387196475455.3686,550740262546.7007,664184680753.7478
2023-01-15,64415041276949.03,381705737676.79285,568453411114.9957,673055900961.2123
2023-01-16,64326173077210.01,388572023119.8495,586402009841.8795,669832285464.3901
2023-01-17,64249623458972.07,402307720209.5549,595364312287.0691,662632889060.9906
2023-01-18,64190872534971.125,402840023955.0126,601784661022.7103,666312954535.2992
2023-01-19,64167615948434.93,410523013094.1742,608527849185.1868,661450118225.16
2023-01-20,64176420794850.625,416443527597.7064,613650227866.6484,658109802111.2931
2023-01-21,64184567954635.81,424058208500.97626,617068985901.9928,651006643590.6519
2023-01-22,64207700072424.44,432241697864.3586,619450842767.4341,642616324585.6049
2023-01-23,64245147581802.234,441018735025.3824,621556733990.8184,634357108588.7977
2023-01-24,64275976868913.87,448893494739.70703,623246401341.5249,628441242004.2173
2023-01-25,64273087339066.52,434346814874.56274,623086922001.784,637404457771.4138
2023-01-26,64294439308803.44,430181495198.44104,624338716942.1014,637345448481.6893
2023-01-27,64304920229144.54,442953916908.3211,625856309744.7163,627323277154.9065
2023-01-28,64292399404632.17,448395562062.9026,626158637199.6713,625312767806.7081
2023-01-29,64291463754853.016,442014595552.70935,625615821487.0728,630421137014.3484
2023-01-30,64301056970068.9,435171648836.6185,624584920190.4424,634611073293.0779
2023-01-31,64314143027089.82,430768023164.86005,623342542252.2677,636997245396.3196
2023-02-01,64310167997281.625,439691987971.04504,622296962993.3619,631413049211.7759
2023-02-02,64304066810456.74,437720536956.5021,621421004498.5681,632173576544.7974
2023-02-03,64301794287041.22,439527276704.3086,621192773812.876,630157841576.4436
2023-02-04,64296790004430.625,440787888444.4182,620969299578.5107,628529787770.8495
2023-02-05,64278875576433.47,448041018606.53894,620909406952.6085,622187178226.8942
2023-02-06,64270816361955.39,455638727527.4822,622196957051.6946,615879002120.7266
2023-02-07,64257901134352.88,464330944635.1844,623680604699.2762,609169445342.7087
2023-02-08,64241813311194.45,475155221580.2508,625517220123.1888,602806750745.9663
2023-02-09,64221610575309.305,490189101244.11523,628253498879.1683,596978045536.511
2023-02-10,64187970518128.914,511913863708.7674,632407829322.3662,590975071574.7024
2023-02-11,64178345609963.055,489744178133.94794,635749227967.8064,605195666326.558
2023-02-12,64149590190495.09,475213328907.1293,638253335047.6005,616975655111.1749
2023-02-13,64139348564768.016,461581114153.18005,642141757290.9222,626701807880.7003
2023-02-14,64129002624330.695,449459007949.2794,646913078904.1859,636429725880.3291
2023-02-15,64119333006335.055,457537007168.89026,651531906738.7261,629606492890.0997
2023-02-16,64101346941187.21,467631727528.78577,653315205845.7081,625678464253.8507
2023-02-17,64105216140254.05,490152284103.5481,655996839967.4712,615747797036.0023
