,IN,Phy,ON,Zoo
2023-01-01,63886334212990.95,424454953410.77515,141567690292.12543,697770781922.8798
2023-01-02,63889938720456.836,430841351937.8883,139380938706.7746,680780814297.5876
2023-01-03,63835543423102.25,438615989213.76965,138292570382.44846,664689011639.8942
2023-01-04,63799573914198.01,443338187991.1057,138677260240.37836,654767214792.3845
2023-01-05,63753560454647.29,454196172034.3512,139781149901.74234,641977185568.5063
2023-01-06,63586268380135.45,449478500864.2755,141932525755.9729,647368740985.2926
2023-01-07,63389819068916.57,443535339602.64075,143141494454.10474,654392237737.2476
2023-01-08,63262860527759.26,436514193253.417,143134819160.02258,661450079240.0793
2023-01-09,63198503459586.57,430280418190.6084,142016908076.31213,664751564493.536
2023-01-10,63166379326319.34,428840124176.3092,140321084676.2058,665197382103.0042
2023-01-11,63179281529839.99,441244178337.52246,138934243327.6488,650713980695.7241
2023-01-12,63162138016555.25,443937988978.78687,139144655179.11444,645026858412.788
2023-01-13,63094747325686.53,436807066478.4671,139295082326.88837,652494603836.9186
2023-01-14,63060138555456.34,433428978355.37463,138306215232.068,653604336681.0898
2023-01-15,63033776422304.55,445732919961.9508,137095614638.78067,636079996180.2119
2023-01-16,62986255677144.836,449623188078.5414,137710591513.01166,624956069229.9254
2023-01-17,62940257206939.125,450809178891.56213,138716545867.26007,618196189224.0165
2023-01-18,62886565620787.69,450227488955.17236,140159315261.01044,613395907373.3932
2023-01-19,62763245332828.06,451841832374.5281,141022868076.7235,608446478975.4333
2023-01-20,62649320910954.45,466708637503.2694,142495755907.28186,591595707255.0265
2023-01-21,62507970677486.19,476845391949.1218,145994280643.71698,583601693212.204
2023-01-22,62373749191269.4,464571695369.11597,150122588036.3033,590967575475.2546
2023-01-23,62311650373800.586,475849420384.9608,152734596027.995,581990285870.0798
2023-01-24,62267256901434.46,479116990624.3301,156766034454.22308,581277903072.8052
2023-01-25,62290165377456.32,471904440734.54785,160810490910.06305,586571097807.7416
2023-01-26,62314200252710.44,482373060158.18976,163821352805.65598,579604915181.8739
2023-01-27,62338682977749.31,484260104460.3872,168424570432.98734,577590371334.6887
2023-01-28,62348758268757.32,495343560147.4491,173046711305.07623,568753681308.8539
2023-01-29,62351883857662.66,507668280482.17615,179486453123.97995,561261567581.7961
2023-01-30,62341474681837.38,528696618166.9944,187780111411.32495,552022704418.9167
2023-01-31,62323817423996.77,537432152438.9937,198221527225.98602,546974026593.58777
2023-02-01,62312836501915.37,525398925128.95355,208395145179.1996,550634560590.8838
2023-02-02,62290272761471.0,512278051141.61145,215850996988.56396,556223998277.7073
2023-02-03,62216304966778.445,508253374223.04193,221514952233.56708,560789785242.8353
2023-02-04,62062425187481.56,496483878731.8229,225762501639.16864,571818916217.4037
2023-02-05,61864996960171.125,487329330321.4116,227831634756.26474,584791689543.3503
2023-02-06,61774251019306.29,481912374719.1061,227999564815.68274,592732685132.5088
2023-02-07,61742140186081.27,477906307516.28845,227604086276.5636,600380211679.128
2023-02-08,61679438057509.64,480403102511.08044,225311832971.52698,605706502663.6365
2023-02-09,61683660760124.55,502557688785.2274,224766365364.51593,596854435061.5906
2023-02-10,61708003589531.06,511826303563.62537,226678648768.97815,597805329617.7075
2023-02-11,61761684506079.484,523294972101.3546,230100856973.16052,595400650580.8811
2023-02-12,61841270725537.78,544956940337.41113,235585017083.39056,585550015833.1376
