,PugC_MP,PugC_SE,PugN_MP,PugN_SE,JdFE_MP,JdFE_SE,JdFW_MP,JdFE_SW,SoGC_MP,SoGC_SE,SoGN_MP,SoGN_SE,Fraser_MP,Fraser_SE
0,119.47386414893062,,4.576910127331437,0.4225073586720208,6.026304912315276,0.44795858682274403,13.89471222556525,0.6729698760563504,67.55991166361505,1.6231612217890874,12.070369482261809,0.6488769897949407,248.9267602889908,4.593435233759462
1,37.04182451440171,,3.6220012274943,0.38808023708431694,4.309115373697901,0.3754286325919384,9.800408843897548,0.5599374363373449,37.6230391119809,1.1260489937924028,4.854730418546287,0.39220500618161297,89.32518545890304,2.066216236966713
2,43.39538785868777,,2.9963603059354087,0.3273686042999393,3.304710252620226,0.3280193254068609,7.543679038738651,0.49807415236507263,29.498128780642833,1.0130348638121973,3.29188149315891,0.3328859218996365,66.94290057164987,1.6949493995654503
3,15.613999695802988,,2.50241811647753,0.308460567338975,3.1102699861871703,0.3197807668813018,4.674433517702415,0.39212090553764617,22.721654470039123,0.8689920113487103,1.8620471128110903,0.24392408469454036,42.40664634256647,1.35237510589099
4,9.057213360049623,,2.50234746473958,0.312050649023372,1.9438635400857731,0.25387200685365324,3.9328601201051576,0.35803576913305935,14.798993804758966,0.7230954561033867,1.729296029766832,0.2399960954179172,23.28933853296621,0.9844086617354514
5,5.271816641604753,,1.5168766540595846,0.23384943352133208,2.5916741804260135,0.29587348274620023,3.7399018149385284,0.34769182633031337,8.42720487446291,0.5425775531985515,1.430289584068979,0.22488520812154358,9.863966435904855,0.5945882490080253
6,3.5484641101769414,,1.352041931371398,0.23679402033174685,1.9759376213925037,0.25160160040726026,3.0957280362491963,0.3150457178971278,4.5501983425084,0.4153638139291057,0.8978352583833978,0.1837391484539409,6.935894226445274,0.5060944590060545
7,2.263783252897103,,1.5477901311978282,0.2312600923311096,1.8793860803581062,0.24996237078978692,3.35240019088639,0.3322765493178721,3.100222685729859,0.3266152501273433,0.5318463293464206,0.13242947788618484,4.138965327167224,0.3807386556242325
8,2.5334130221070126,,1.5154370306617124,0.22195856588655033,1.7169027363150864,0.24444801560249857,2.3518493113692673,0.29026673669958225,2.9978984470087084,0.31820437306994714,0.564854765607994,0.13632369850018172,2.1869556436047315,0.26884181024941384
9,1.7213442971676167,,1.2506000144160976,0.22513599231806508,1.3269335400740674,0.20406789838571104,1.8671070573813158,0.2496858019052723,1.245322594121141,0.201844554079738,0.3986325122944916,0.11439444039817777,1.6809330896812298,0.2564134923847105
10,1.5160385301115133,,1.4116494007766773,0.2117421080118692,1.4220238201352475,0.2157881826306021,1.3818360274699377,0.2125278811591586,1.0753641825858122,0.19950683809709477,0.3650408351657771,0.10944302721494159,1.2077913232872246,0.19855322709701967
11,1.3771237468505158,,1.604231931102361,0.24314328143500302,1.546009163683429,0.22388866630202636,1.3456525767864722,0.20951679842673582,0.5360619109606318,0.14140934496606705,0.3306428257721975,0.10408847778080314,0.3680049097806768,0.11041494737463935
12,1.3023119253825433,,1.3361036610176409,0.21025809296060466,1.2495792879019756,0.1971721783818386,1.3699164692124353,0.2056627188001513,0.29977603219167204,0.09958669731586763,0.2957498592884644,0.09820050814076486,0.23284420565453356,0.08774593500637516
13,0.8917544023200765,,1.1604713020708985,0.19304762768027586,0.8870993748949033,0.1657930880600867,0.8191167621017478,0.15907686654094225,0.2634763050746712,0.09292808189488293,0.19501680274640773,0.07940701534818789,0.16445470504778686,0.07335467372996402
14,1.0990357423616695,,1.1675737449064263,0.18892709676944625,1.2083248781295128,0.19573491571163446,1.0788914035049735,0.18013347492512516,0.16115372392886054,0.07194827239098699,0.19091980081718107,0.07779225560308652,0.1609287284965129,0.0716602547622804
15,0.9004699994944038,,0.7282294828526845,0.15389568233829787,1.1604716861808433,0.18314725065310683,1.1837433383741602,0.19393183789911386,0.061891960565922756,0.043758258850913785,0.2139446442546331,0.08062687561711579,0.15449837669600902,0.06899828335371175
16,0.6055894399062105,,1.239358820931186,0.18730813490816817,0.9666089371909239,0.17053772979097911,0.5494091664073439,0.12200176286851619,0.028726649454347285,0.028759730412119888,0.11351216304679047,0.05672444650501564,0.11477061974496686,0.05725473132040034
17,0.8605794909795428,,1.0896559058140045,0.16457936446375973,0.873240973574448,0.1436004391075199,0.7001621151790886,0.12866304146587731,0.02523530058968532,0.025235521807897655,0.04983976222384809,0.035272115921688274,0.1512573161767441,0.06158763344311619
18,0.9040167363216327,,0.9444507544259636,0.14329459152010127,0.6890760069108335,0.11827694705984781,0.47076966194898134,0.09514391094821846,0.02047693688549906,0.020446830650309188,0.04044661703142075,0.02857519001303285,0.22500317542402784,0.06745503438139423
19,0.6839190277043306,,1.026554777992016,0.13127634381164194,0.5382417076024921,0.08959354257830716,0.6082895978375862,0.09550422689870378,0.0,0.0,0.059866470061615315,0.029834932990065677,0.13599795004675375,0.045112363797499534
20,0.7218664324401599,,0.7428187289479364,0.09161138667354699,0.7994400827146967,0.08926393815961575,0.4218836103448721,0.06561235738673928,0.01023924569831691,0.010256000513753282,0.02031360607058744,0.014300251898469242,0.11257898961569897,0.03374047099247792
21,0.5781112490962725,,0.7249942870382238,0.07229308943859712,0.5267573979566251,0.05869184278156971,0.27796473431117347,0.04210053269269003,0.006584505452795478,0.006592311609895844,0.019601682370934077,0.011237459357181775,0.10535510942313428,0.02612374395843694
22,0.8083105077938241,,0.5975613114604206,0.05493786280444813,0.4307511663842457,0.04290941416383129,0.21591412239767993,0.03624296736474493,0.008455077059726441,0.00597468407396758,0.0168538522817996,0.008337332958554948,0.11023370794038524,0.025661344667278863
23,0.6905721598008364,,0.485151827691785,0.04513149676209991,0.2958295287618161,0.029019966729880314,0.09351473988993943,0.018919932346317066,0.0028508856150529596,0.002853532746582295,0.0,0.0,0.0803266623901034,0.014906397035626535
24,0.5707861463780188,,0.39985657481150555,0.04260112937672932,0.20984423053615756,0.0202098911903869,0.04848497605298233,0.013660906003535726,0.0020929188111505743,0.0021011534703830664,0.0021265942776695296,0.002066761507219018,0.06362347555405669,0.011723840754669985
25,0.43122920405706333,,0.24106218891951292,0.033294414480806486,0.12978541065686786,0.01413950286504371,0.024578885496445064,0.007747149666230286,0.0033816510265213683,0.002388866661542545,0.001737609565822755,0.001664200575968242,0.06383154861089461,0.011491764791146983
26,0.2849828165359189,,0.16681934550385374,0.022685611165732582,0.1025452802975091,0.01231732943133653,0.023126836071936854,0.005964390827786693,0.0059323343055842715,0.002956054672561665,0.0015519807196809623,0.0014541197087640588,0.045571917314860794,0.008483256558122192
27,0.1842674368446982,,0.04092228505168131,0.015074638940166533,0.04853827241923711,0.011665725481058327,0.016407546276202573,0.004767889825052671,0.008269592514910287,0.003342893472235925,0.0014464120036101033,0.00134715027967685,0.03552815137202642,0.008151525085777425
28,0.12645711673913507,,0.013199974151278352,0.005726977208638791,0.013902098837970868,0.0063713501484279605,0.013717139327914114,0.004027114221160335,0.013242882622353236,0.004133213699750721,0.0,0.0,0.008430544374084225,0.0031981148662482226
29,0.084011592666274,,0.002530666904301846,0.009247753371599558,0.004394519915843169,0.004681472667816667,0.0074198449249628755,0.002806981194291274,0.009127250287342053,0.0033845639627199946,0.0013998903126178762,0.0012635646390943042,0.011350822878817658,0.003607145819871756
30,0.03981319625748049,,0.0,0.0,0.0,0.0,0.0016297941742496086,0.0037014432817291274,0.0066300082295740964,0.0028791852276818923,0.0,0.0,0.01104060000704576,0.0035638258410963957
31,0.008144434754214728,,0.0,0.0,0.0,0.0,0.0,0.0,0.009430772733839502,0.0033216209751003333,0.0,0.0,0.006800563138273668,0.0028007810507287814
32,0.0012970510317102902,,0.0,0.0,0.0,0.0,0.0,0.0,0.003979492682965332,0.002172520175595777,0.0,0.0,0.002826262842338897,0.0034796975462878165
33,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.010437252573686684,0.0035325682991457314,0.0,0.0,0.0027377161009230024,0.0019266131904380527
34,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.006577635689555975,0.0027931800453291065,0.0,0.0,0.0,0.0
35,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0013441265359682734,0.0012506780175122064,0.0,0.0,0.0,0.0
36,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0027336154022171836,0.0017673810895578548,0.0,0.0,0.0,0.0
37,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0013883256223836732,0.0012500938885577485,0.0,0.0,0.0,0.0
38,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.001568020822070498,0.006060097032793345,0.0,0.0,0.0,0.0
39,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012496848396243473,0.001247771359361311
