,b1
456,4679.0
457,4675.0
458,4674.0
459,4680.0
460,4675.0
461,4681.0
462,4673.0
463,4680.0
464,4680.0
465,4681.0
466,4682.0
467,4679.0
468,4673.0
469,4680.0
470,4681.0
471,4681.0
472,4681.0
473,4675.0
474,4671.0
475,4677.0
476,4677.0
477,4672.0
478,4677.0
479,4675.0
480,4674.0
481,4674.0
482,4675.0
483,4673.0
484,4681.0
485,4678.0
486,4674.0
487,4676.0
488,4673.0
489,4675.0
490,4683.0
491,4681.0
492,4681.0
493,4682.0
494,4679.0
495,4676.0
496,4674.0
497,4680.0
498,4673.0
499,4678.0
500,4676.0
501,4678.0
502,4673.0
503,4675.0
504,4676.0
505,4678.0
506,4672.0
507,4682.0
508,4675.0
509,4672.0
510,4675.0
511,4678.0
512,4674.0
513,4677.0
514,4680.0
515,4676.0
516,4671.0
517,4672.0
518,4673.0
519,4676.0
520,4676.0
521,4675.0
522,4674.0
523,4673.0
524,4671.0
525,4680.0
526,4674.0
527,4674.0
528,4674.0
529,4671.0
530,4671.0
531,4670.0
532,4672.0
533,4673.0
534,4673.0
535,4677.0
536,4670.0
537,4674.0
538,4672.0
539,4677.0
540,4678.0
541,4673.0
542,4677.0
543,4678.0
544,4672.0
545,4678.0
546,4670.0
547,4675.0
548,4671.0
549,4673.0
550,4670.0
551,4674.0
552,4671.0
553,4671.0
554,4675.0
555,4674.0
556,4675.0
557,4673.0
558,4675.0
559,4671.0
560,4674.0
561,4673.0
562,4670.0
563,4678.0
564,4674.0
565,4672.0
566,4676.0
567,4677.0
568,4673.0
569,4674.0
570,4671.0
571,4673.0
572,4670.0
573,4677.0
574,4672.0
575,4668.0
576,4675.0
577,4669.0
578,4670.0
579,4671.0
580,4673.0
581,4668.0
582,4674.0
583,4669.0
584,4668.0
585,4670.0
586,4676.0
587,4670.0
588,4672.0
589,4670.0
590,4674.0
591,4671.0
592,4673.0
593,4675.0
594,4670.0
595,4670.0
596,4673.0
597,4672.0
598,4673.0
599,4668.0
600,4669.0
601,4669.0
602,4672.0
603,4672.0
