,F1,FE1,L1,LE1,S1,SE1,F2,FE2,L2,LE2,S2,SE2,F3,FE3,L3,LE3,S3,SE3,F4,FE4,L4,LE4,S4,SE4,F5,FE5,L5,LE5,S5,SE5
0,0.0018947918250295259,0.0005213383217016644,0.000740803783498717,2.5490502588416494e-05,0.00032922922570254596,6.872334754583941e-06,0.0012766289266228532,0.00039762842925246844,0.00039396354565376555,1.7737994689385315e-05,0.0001620847664600943,4.641094640725979e-06,0.001510804433899808,0.0005083939415399802,0.00031913842503510917,2.084251190292748e-05,0.00013815027377033227,3.536690928854735e-06,0.002205121378884404,0.0006066038287440426,0.0002564099562929369,2.273336465659121e-05,9.369157105600684e-05,2.926726360167195e-06,0.001076596519195896,0.0002883240076910403,0.00038903570798869803,1.6518289486029847e-05,0.00016995558838280402,4.587048459952495e-06
1,0.005221079319931152,0.0014064507561884173,0.0008390170255712494,5.5959098773866945e-05,0.0003220201878224075,7.838537004600576e-06,0.003263375511726322,0.0010457373862229442,0.000543416393475102,4.239612619333702e-05,0.00015317868547022286,4.519855506848203e-06,7.061884873234545e-05,1.9936122898659484e-05,3.5724664052072254e-05,2.0965461282144694e-06,5.043448333206927e-05,1.8012930961877459e-06,0.006743667682424988,0.0019113930599008566,0.0005048505476579349,7.196826191886995e-05,8.43902049254661e-05,5.249216211163045e-06,1.814374555095223e-05,7.082052231746801e-06,4.657707580627317e-06,6.894188292564283e-07,3.2679662837087854e-06,4.5918134755033285e-07
2,0.003529058537235399,0.0008492286465153024,0.00046814089827575914,3.636711167562264e-05,0.00010839769453722245,4.544826296734073e-06,0.0020377832655664465,0.00059363936082357,0.00027744870290439145,2.6054750191232138e-05,4.927193081689057e-05,2.2707282235928753e-06,5.729075082289694e-05,1.8438576343201173e-05,4.144037531390323e-05,2.2353862951148494e-06,4.812858626127553e-05,1.8053262600408165e-06,0.00492910905782137,0.0012701113083874844,0.0004706610432219203,5.4435835544159756e-05,5.9082005489863014e-05,5.0962768671537905e-06,4.915812609305907e-05,1.6176278224300236e-05,1.4407397174540296e-05,1.6566667963053765e-06,8.046472015052643e-06,9.253078466221923e-07
3,0.0017331453971318998,0.0004055632140410752,0.00026548936011975584,1.9132793533805447e-05,7.751778501651738e-05,3.856835605207164e-06,0.0008263015797969936,0.00024823175454268535,0.00015067667296890982,1.3018481948473676e-05,3.240495060057498e-05,1.8739090990563625e-06,6.002171581467893e-05,2.0448299983320534e-05,4.0781220644265006e-05,3.058993873541842e-06,3.641914893861741e-05,1.7979922340253284e-06,0.002352509735210055,0.0005931826283786803,0.00031726539278311284,3.155039021124066e-05,6.254637401119332e-05,5.210948871588804e-06,4.153909507518915e-05,1.5163765904184122e-05,1.7151316680095242e-05,1.936041725817905e-06,9.250232720719697e-06,1.0315604686975418e-06
4,0.0009729924661832588,0.00025840576189921783,9.116600510368851e-05,1.0150612094505572e-05,3.98683263021447e-05,2.1422222892904246e-06,0.0005686618564365371,0.00019349158388942366,4.52518080069845e-05,6.808633131213778e-06,2.2108208685896643e-05,1.3518845202245475e-06,7.16402159815974e-05,2.3893653756603597e-05,2.4593575821854862e-05,4.628248094229074e-06,1.5529444407960335e-05,3.058663682921807e-06,0.0014999156284111726,0.0004112286377554868,9.799034295903158e-05,1.5897600450156254e-05,3.2466409389226285e-05,2.6635088830078127e-06,2.562279750829601e-05,9.207327661755032e-06,9.937867841036564e-06,1.5446693551084345e-06,6.0972637270191305e-06,8.176596058316433e-07
5,0.0007820505488464955,0.00025891000039398015,6.343397406569052e-05,9.146601350531135e-06,2.974826038039665e-05,1.9097264743898145e-06,0.00042268931055702364,0.00015235593914200986,2.460423151137989e-05,5.105593073441378e-06,1.2778720879518936e-05,9.846707693551328e-07,6.0343508495114316e-05,1.9659834118643164e-05,1.0555524143568247e-05,1.2224278163217635e-06,6.635688637991603e-06,6.410228710997991e-07,0.0011295008501466545,0.00032404982997766865,7.268491371936449e-05,1.2341578318177036e-05,2.802831925463521e-05,2.3457497675072974e-06,5.755935813157279e-05,1.8356891713680656e-05,8.393700366220386e-06,1.4275904335217429e-06,5.037774966587238e-06,7.820650659452425e-07
6,0.0005501138898046895,0.00014996648973142926,5.026935643901983e-05,5.549380959646222e-06,2.5229033588421275e-05,1.9967592298839254e-06,0.0002860644130080258,9.772334341683361e-05,1.4018831505465788e-05,3.079272599712196e-06,8.001881331213449e-06,7.387006160120977e-07,3.153521550356556e-05,9.986572089483925e-06,2.6573080756045606e-06,5.442828616133322e-07,3.7445117984912055e-06,4.5264999815492165e-07,0.0008954520990795084,0.00024517200835880837,5.212180427662889e-05,8.0655841918619e-06,2.3314591122097493e-05,1.8505428853041714e-06,0.00020342736546206873,5.1774219607887054e-05,1.2017618883454238e-05,1.9342321823877057e-06,4.33324116466546e-06,6.909499265710458e-07
7,0.00048004340567043446,0.0001304012997430587,3.725196051542094e-05,4.09080103740388e-06,2.0442267196287765e-05,1.4582831095619446e-06,0.0002132557715403936,7.125183924182171e-05,9.20788325633115e-06,1.81569838364637e-06,4.888793884090743e-06,6.00304905994498e-07,7.990421334411641e-06,4.504849142884731e-06,8.553146886703292e-07,2.602230288301858e-07,3.0037583953688772e-06,4.054943120768418e-07,0.0008065392594210635,0.0002526419194124852,4.420016154178568e-05,6.2064019961802e-06,2.1792840447104442e-05,1.69873646927217e-06,0.0002901311502936262,7.572279969842813e-05,1.19346391162857e-05,2.0629477542209362e-06,3.745911144475925e-06,6.043263756423471e-07
8,0.00030428139154058803,8.865899216808492e-05,2.8994797018657223e-05,3.3220672747128087e-06,2.0633734696087615e-05,1.7492633665037885e-06,0.00016490135187360045,6.879517631101456e-05,6.110792675945032e-06,1.2660854262955572e-06,3.931190945911717e-06,5.197036065209005e-07,2.0035113344450745e-06,1.9906824791841686e-06,4.510440078875751e-07,1.8643288215937312e-07,1.9432331753098705e-06,3.610977613418252e-07,0.000456799972405193,0.00014916048354075517,3.3979622790731497e-05,4.878953664894356e-06,2.2098122594488175e-05,1.8709999306522826e-06,0.0002101062376187222,5.277432010206255e-05,9.732029916985989e-06,1.8090890818484459e-06,3.0583195496132058e-06,5.623614912031869e-07
9,0.00015238377842175275,4.93908220381269e-05,2.0628313972103185e-05,2.5368367764152147e-06,1.5780540125910162e-05,1.2296915581121505e-06,8.769833256877748e-05,3.45165076289636e-05,5.957912138361307e-06,1.2577198160603227e-06,3.8453337973632695e-06,5.463570259430701e-07,2.1007524127618755e-05,1.8880157102139612e-05,2.3989451093949836e-07,1.8199593139160586e-07,1.432021068738976e-06,3.1544633783769286e-07,0.00021072481700872632,6.408513482955723e-05,2.817759708492822e-05,4.207483026251263e-06,1.808115378563399e-05,1.4455422525408548e-06,4.912463048230283e-05,1.843528132948589e-05,4.9160274486810895e-06,9.548013588220268e-07,2.4323946581621967e-06,4.249411081767354e-07
10,8.309269475777126e-05,2.4556205784627948e-05,2.1097815978749387e-05,3.0364036646246017e-06,1.5555065302786754e-05,1.624935724142957e-06,4.990129850568642e-05,1.599178320371563e-05,7.62860325055064e-06,2.0985198271335444e-06,3.7089965249543928e-06,6.612741958777913e-07,0.00010409035809089178,4.8585340814314585e-05,2.03405472182779e-06,7.06612762009872e-07,2.0461142450453667e-07,1.0225513262661445e-07,8.253446959986798e-05,2.6961921586277362e-05,3.346459724652395e-05,6.400375410030739e-06,1.9995731093652205e-05,2.173006930243777e-06,1.052129997521709e-05,1.0466536515967686e-05,2.817050592417298e-06,6.509961065538448e-07,1.9182161104240085e-06,3.3369062244643136e-07
11,5.7495303097309205e-05,3.2199730205955944e-05,1.956563460611286e-05,3.4432806110080707e-06,1.3968215305423813e-05,1.5456094381977591e-06,3.707894285255769e-05,1.8727273619303493e-05,7.867531875194237e-06,3.364097916428574e-06,3.1750187898913035e-06,7.024686913588094e-07,0.0002533968498097907,9.110813314762274e-05,6.420139922127537e-06,2.5610095130659523e-06,1.1170990932822143e-07,7.839086690035708e-08,7.771794517339258e-05,3.9938535496261885e-05,3.481371402908841e-05,8.371180509833306e-06,2.0188378707251736e-05,2.510975065089914e-06,1.0489596476875134e-05,1.0434998034614468e-05,2.3245683808667377e-06,6.075636093743454e-07,2.042796969349523e-06,3.9778138846086736e-07
12,1.326942329499181e-05,8.30070676783873e-06,9.655681675773774e-06,1.2281524749320375e-06,1.1320996122917311e-05,8.766535838673982e-07,1.5470550230839582e-05,1.3250162065552383e-05,3.332330302784259e-06,1.0293385276322471e-06,1.6603694197369046e-06,3.230977999592816e-07,3.803907252078485e-05,1.5209550475016135e-05,1.126543062550435e-06,4.106300841767202e-07,0.0,0.0,8.529238792707886e-06,6.8461372636316805e-06,1.6203273985043506e-05,2.02479232389336e-06,1.5714529417860695e-05,1.343026386479506e-06,5.236069919746107e-06,5.187066382171173e-06,2.3823239759125944e-06,4.954222077892244e-07,2.0540428087615407e-06,3.3714862323232426e-07
