,F1,FE1,L1,LE1,S1,SE1,F2,FE2,L2,LE2,S2,SE2,F3,FE3,L3,LE3,S3,SE3,F4,FE4,L4,LE4,S4,SE4,F5,FE5,L5,LE5,S5,SE5
0,0.06190415552220119,0.016827619098338582,0.013415052238819428,0.0007406321699341728,0.0025862072257318157,3.0183410832584524e-05,0.05663928518314773,0.015287479361242246,0.011884819063479747,0.0006552067052344946,0.0021377969891771885,2.600043465049194e-05,8.022110800863025e-05,1.8134949305559894e-05,0.00029469913224471826,7.409868764784863e-06,0.00021149520977342196,3.849055543803327e-06,0.040414735364075846,0.010819649557414051,0.006935826418746191,0.0004393075419039097,0.0012684999970476452,1.5963694364829136e-05,1.067961741387253e-05,4.044452555840588e-06,2.3785649996065374e-05,1.3308498474983513e-06,1.0040734392450893e-05,7.243402372804414e-07
1,0.011730552923840442,0.0034573452843268205,0.009335212204754709,0.0002959340383471376,0.002097372436928577,2.4565862079693922e-05,0.010211819388968426,0.003078920923234748,0.00809126054582852,0.0002603745303784261,0.001748479531335829,2.2051646203724136e-05,0.00029493144724255426,6.729711627474499e-05,0.0003766454719080521,1.0342037978157457e-05,0.00015567550657810412,3.179438711152574e-06,0.008451707880586773,0.002753270663006685,0.004530953499903454,0.00016492583204287165,0.001000159461084157,1.2912299839264455e-05,6.057961921607052e-05,1.4400328703468516e-05,2.4385373964666265e-05,1.609253251179204e-06,9.667277824347006e-06,7.217488332751018e-07
2,0.0048128011599220515,0.0013337393898569007,0.005703564507382908,0.00014316100164413466,0.0011621327529100693,1.453472669519182e-05,0.00458348594423092,0.0012862614027459526,0.0047585329632480735,0.00011997315121247708,0.0009961502766873804,1.283445640117318e-05,0.0003282237773604836,6.342197840356036e-05,0.00030027081106480234,1.0613270086905497e-05,7.874280085851088e-05,2.129657155829911e-06,0.005447512719622275,0.0017823697473789257,0.0027626711522772554,8.576920105994426e-05,0.0005636691547259348,7.974450297613489e-06,3.721009844794722e-05,1.0653968460557979e-05,1.0988404553003748e-05,9.742199374403143e-07,7.206368791728517e-06,6.238389094655528e-07
3,0.0018365435976997301,0.000478796987908901,0.0032520102508491653,8.449450646125287e-05,0.0006568611294539531,8.796339791016127e-06,0.0026118729606161056,0.0006840482391344284,0.0025791651737786577,6.57119969407194e-05,0.000552524459664426,7.486192695852659e-06,0.0003172136974352742,6.556593620619151e-05,0.00019332575280684225,9.703168377832734e-06,4.7052056614435426e-05,1.6270484791849863e-06,0.0034735323703315537,0.0010578303505573378,0.001530440107206704,5.158009070475055e-05,0.00032214316958385146,5.170413337028767e-06,1.851048509316246e-05,8.22590877661698e-06,6.832629549705708e-06,9.142480212156411e-07,3.910234208188193e-06,4.353918257361285e-07
4,0.0005623295037258989,0.00018530682148226914,0.0011386734244458747,3.0213729868713726e-05,0.0003655799400932838,5.286915102037625e-06,0.000686648563027707,0.0002622758456881814,0.0008614788852788737,2.4168515965400528e-05,0.00032125707032515003,4.8232293692972865e-06,0.0002722325119074133,5.924313903400244e-05,6.348947597073342e-05,4.350202148405041e-06,2.3909388006337686e-05,1.1407978088843499e-06,0.0005894241309129108,0.00020464971940018406,0.000483645110074701,1.4534290707840274e-05,0.00016728792431754488,3.168608992975296e-06,3.98758359357951e-05,1.2057548733430248e-05,3.0770550020722843e-06,5.48113959054628e-07,2.62483288202473e-06,3.4330928681183484e-07
5,0.00046270133985466013,0.00016852807494049086,0.000463121318336517,1.5108467414823087e-05,0.00021425228407498422,3.8000290713776807e-06,0.00037461938603409355,0.0001328753799222527,0.0003783221980360507,3.608067587325969e-05,0.0001814197026592358,3.290729039945311e-06,0.00043631642148112,0.00010436050627280518,3.300684137622018e-05,3.5579214674311104e-06,1.3793569396606142e-05,8.766550483412136e-07,0.0003502754380615161,0.00013270769685475207,0.00019606281251611645,7.728668163824761e-06,9.422399517163585e-05,2.3274188505932025e-06,3.587799854519618e-05,1.3119585387156095e-05,8.561785177516704e-07,2.828802493297196e-07,1.0376257397426085e-06,2.0703976813963104e-07
6,0.00042706775209423704,0.00015168279426988949,0.00018642347891714592,7.778943817368636e-06,0.00013154566311951798,2.833583894905665e-06,0.0002379986121757757,8.939281147828393e-05,0.00012440802204053357,4.841442199785759e-06,0.00010283176041272135,2.3226878070613427e-06,0.000626915762110485,0.00017419777600271034,2.2431918516766507e-05,4.232126449655066e-06,1.2152440989396694e-05,8.076503471203174e-07,0.0002485218543217242,8.312221027954173e-05,7.97596806200981e-05,4.075561323749875e-06,5.6963938117570534e-05,1.755114922290008e-06,3.140862421775449e-05,1.1798062575160625e-05,6.070820396517544e-07,2.8986599795284327e-07,5.120329908553737e-07,1.606555564897768e-07
7,0.0003637018273526072,0.00011508629616385615,8.623599342783903e-05,4.690959407359909e-06,8.892543166642103e-05,2.1647239010937424e-06,0.00029361592335993853,9.866432935468514e-05,6.79329676288681e-05,3.529625029764219e-06,6.520298002024787e-05,1.9041173120214566e-06,0.0009336931363189782,0.0003144589908632111,2.3575714671808316e-05,7.912818624160872e-06,9.302518829309432e-06,6.857028674542555e-07,0.00018341393784202897,6.206105616366592e-05,3.448873190758088e-05,2.2797733237353623e-06,3.5776909228642433e-05,1.378300764045526e-06,2.1399535700783207e-06,1.4846605773306812e-06,1.4232957104040076e-07,8.466849328220942e-08,1.345580695835103e-07,7.736805962059596e-08
8,0.0003076174043369384,9.802841069971183e-05,4.433123114683257e-05,3.6463207962811745e-06,6.0075699461502285e-05,1.773627928342104e-06,0.0003197107780738237,0.00010321350603647649,4.387043979309144e-05,3.533117885201083e-06,4.676389025212744e-05,1.6173471089844835e-06,0.0005036670086717973,0.00018527394426463663,1.3994908248950912e-05,5.321972882597687e-06,5.045753752804685e-06,4.884168607805195e-07,0.00012001441246129699,3.9005446207124225e-05,2.0124180199876836e-05,1.7276530922220553e-06,2.044901122651003e-05,1.0365659285366875e-06,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00013757820422353494,5.161230123336046e-05,2.2870652917709363e-05,2.1953680351652294e-06,4.2514794944169925e-05,1.559903579162383e-06,0.00021697570026253392,7.201885799600238e-05,2.6226860720470638e-05,2.5778967282617695e-06,3.311335012484036e-05,1.338195897888382e-06,0.00031689572610151413,0.00012757420221572616,8.926250173367271e-06,3.91484988986569e-06,5.2121489177736315e-06,4.922079843325551e-07,5.9994120027305554e-05,1.7880408051718372e-05,9.365332219763715e-06,1.0373188902640925e-06,1.4028564224385533e-05,8.638987470770151e-07,4.955455503199814e-06,4.10723691203981e-06,0.0,0.0,0.0,0.0
