,F1,FE1,L1,LE1,S1,SE1
0,110.53533287285747,28.719301236902208,4.812581699441995,1.0359452115233398,0.0,0.0
1,89.4561566457183,25.27210492904659,3.724792005849642,0.8886621868722527,0.0,0.0
2,2520.1769137636147,2233.805655596462,84.07089014521092,72.71050191248177,0.0,0.0
3,93.05290529591825,28.72579982279956,4.68060834595925,1.0291483254025529,0.0,0.0
4,101.0913247745157,32.65949133556903,4.1437739390962,1.1262717741465504,0.0,0.0
5,74.02590133040233,24.54760254108137,2.8603205600642263,0.8411129047301424,0.0,0.0
6,60.33823689985637,23.40227009162777,2.561575936934255,0.7958464302627262,0.0,0.0
7,33.66114553218111,13.232509233470482,1.700274445698879,0.46566232510003963,0.0,0.0
8,32.922100125566814,13.022968585431396,1.483836346923997,0.44198800625836576,0.0,0.0
9,25.15055257756484,10.941539448484106,1.1857263691079105,0.3698149419247323,0.0,0.0
10,18.449278949212268,11.993637371298117,1.0854345128490765,0.40839969938915877,0.0,0.0
11,8.685907430853694,5.305205200798464,0.6724011861844729,0.1945998367172846,0.0,0.0
12,2.5504271962199603,1.121075653612355,0.4731407082601498,0.12551252749175118,0.0,0.0
13,0.0,0.0,0.3389085624422371,0.1274030014231555,0.0,0.0
14,0.0,0.0,0.3629213338648346,0.10586115778571688,0.0,0.0
15,0.0,0.0,0.257442378384996,0.08554746821468005,0.0,0.0
16,0.0,0.0,0.2670848237075442,0.10185001162375286,0.0,0.0
17,0.0,0.0,0.33367390833168264,0.09802167092974085,0.0,0.0
18,0.0,0.0,0.3910903088355327,0.12817735750290088,0.0,0.0
19,0.0,0.0,0.4446565234054416,0.08751177578763829,0.014617670270029666,0.014621629904802405
20,0.0,0.0,0.43757210447998357,0.10334497968219464,0.0,0.0
21,0.0,0.0,0.47900899653147294,0.1266451513456399,0.006367213960602327,0.006381028889652391
22,0.0,0.0,0.27521276358564695,0.08357730964561207,0.012268973864873182,0.007079895798444214
23,0.0,0.0,0.0778943396339475,0.031981789550246775,0.00827704345573291,0.004775280301519514
24,0.0,0.0,0.05625829463074406,0.01055060874135032,0.012160450872696666,0.004949120209470337
25,0.0,0.0,0.02273141231188322,0.005178047785817727,0.029467498412324645,0.0072694400240995985
26,0.0,0.0,0.017034876084189614,0.00940349185208583,0.025803368986876952,0.006356857291382891
27,0.0,0.0,0.009648005259735729,0.0027249593834014763,0.01859575632077819,0.005273619288705871
28,0.0,0.0,0.010634943394415137,0.0027063814124739494,0.025715401212046848,0.005913982362064258
29,0.0,0.0,0.0013065042686974397,0.0008991649394808842,0.02694099618335622,0.0057592277669079595
30,0.0,0.0,0.0006436898635311196,0.000628697918041633,0.021783450919318593,0.0050207219530115955
31,0.0,0.0,0.0031957384916824374,0.0014028906580068905,0.02022396281022034,0.005143348409315841
32,0.0,0.0,0.0,0.0,0.013847959252245995,0.004013013936385613
33,0.0,0.0,0.0,0.0,0.012709284126352732,0.003968559499059445
34,0.0,0.0,0.0,0.0,0.005219813413979505,0.0024191525992547803
35,0.0,0.0,0.0,0.0,0.010784832433461032,0.003412931380366281
36,0.0,0.0,0.0,0.0,0.0070594575742704705,0.003041287841734673
37,0.0,0.0,0.0,0.0,0.0014971411482474343,0.0012104937305942522
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
